"[ 인터페이스가 편하고 업데이트가 잘되서 좋다.], 긍정 텍스트 확률 : 71.55%"
"[  코인원입니다. 좋은 평가 감사드립니다.  더욱더 좋은 코인원이 될 수 있도록 지속적으로 개선해나가겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.68%"
"[  코인원입니다. 칭찬해주셔서 정말 감사합니다.  더 나은 코인원이 될 수 있도록 힘내겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.75%"
"[  코인원입니다. 5개가 될 수 있도록 더 나아지는 모습], 긍정 텍스트 확률 : 91.46%"
"[  더 좋아지는 모습 계속해서 보여드리겠습니다 아잣 감사합니다 코인원팀 드림], 긍정 텍스트 확률 : 94.66%"
"[  코인원입니다. 간결하고 직관적인 멘트로 칭찬해주셔서 감사합니다.  코인원 또한 더욱 직관적인 거래를 위해 개선해나가며 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.33%"
"[  코인원입니다. 짧고 강력한 칭찬 한마디 정말 감사합니다.  더 나은 코인원이 될 수 있도록 힘내겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.74%"
"[  코인원입니다. 더 괜찮아 지는], 긍정 텍스트 확률 : 81.78%"
"[  점점 발전하는 서비스로 보답하겠습니다.  감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 89.68%"
"[  코인원입니다. 짧고 강력한 칭찬 한마디 정말 감사합니다.  더 좋은 코인원이 될 수 있도록 힘내겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.84%"
"[  코인원입니다. 베리 굿 한 피드백 감사드립니다.  베리베리 굿 할수 있도록 지속적으로 노력하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.66%"
"[  코인원입니다. 칭찬해주셔서 정말 감사합니다.  더 나은 코인원이 될 수 있도록 힘내겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.75%"
"[  코인원입니다. 짧고 강력한 칭찬 한마디 정말 감사합니다.  더 나은 코인원이 될 수 있도록 힘내겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.74%"
"[  코인원입니다. 좋은 평가 감사드립니다.  더욱더 좋은 코인원이 될 수 있도록 지속적으로 개선해나가겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.68%"
"[  코인원입니다. 짧고 강력한 칭찬 한마디 정말 감사합니다.  더 나은 코인원이 될 수 있도록 힘내겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.74%"
"[  코인원입니다. 짧고 강력한 칭찬 한마디 정말 감사합니다.  더 나은 코인원이 될 수 있도록 힘내겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.74%"
"[  코인원입니다. 칭찬해주셔서 감사합니다.  점점 좋아지는 코인원을 기대해주세요 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.25%"
"[  코인원입니다. 칭찬해주셔서 감사합니다.  점점 좋아지는 코인원을 기대해주세요 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.25%"
"[  코인원입니다. 간결한 피드백 감사드립니다.  이용에 더 편리한], 긍정 텍스트 확률 : 60.76%"
"[  좋은 서비스를 위해 지속적으로 노력하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 88.81%"
"[ 안녕하세요 코인워어언 입니다♡ 더 나은 코인원], 긍정 텍스트 확률 : 51.35%"
"[  제일 좋은 앱이 될 수 있도록 계속 노력하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 97.41%"
"[  코인원입니다. 짧고 강력한 칭찬 한마디 정말 감사합니다.  더 굳굳한 코인원이 될 수 있도록 힘내겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.99%"
"[  코인원입니다. 간결하고 직관적인 멘트로 칭찬해주셔서 감사합니다.  코인원 또한 더욱 만족스러운 거래를 위해 개선해나가며 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.69%"
"[  코인원입니다. 짧고 간결한 피드백 감사드립니다.  감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.61%"
"[  코인원입니다. 칭찬해주셔서 감사합니다.  더욱 좋은 코인원이 될수 있도록 지속적으로 개선해나가겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.31%"
"[  코인원입니다. 칭찬해주셔서 감사합니다.  더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 96.13%"
"[  코인원입니다. 칭찬해주셔서 감사합니다.  사용자 의견을 적극반영하여 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.13%"
"[  코인원입니다. 칭찬해주셔서 너무나 감사합니다. 모바일에 최적화된 사용자 경험을 지향하고 있습니다. 불편한 점 있으시면 언제나 제안해주세요 적극반영하여 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.25%"
"[  코인원입니다. 칭찬해주셔서 감사합니다.  더욱 열심히 그리고 잘 개선하여 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.21%"
"[  코인원입니다. 칭찬해주셔서 짱 감사합니다.  사용하시면서 생기는 불편한 점 언제나 제안해주세요. 더 편리하고 안전한 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.36%"
"[  코인원입니다. 간결하고 직관적인 멘트로 칭찬해주셔서 감사합니다.  코인원 또한 더욱 직관적인 거래를 위해 개선해나가며 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.33%"
"[ 데이터 엄청먹네 하루 백메가 넘는다. 의심되어 삭제], 긍정 텍스트 확률 : 78.73%"
"[ 안녕하세요 코인원입니다. 빠른 시일 내로 해당 기능 개발 및 적용을 통해 더욱 편리하게 사용하실 수 있도록 조치하겠습니다.], 긍정 텍스트 확률 : 84.30%"
"[ 안녕하세요 코인원입니다. 해당 오류화면을 캡쳐하여 온라인고객센터로 접수해주시면 직접 확인 도와드리겠습니다.], 긍정 텍스트 확률 : 78.56%"
"[ 안녕하세요 코인원입니다. 빠른 시일 내로 해당 기능 개발 및 적용을 통해 더욱 편리하게 사용하실 수 있도록 조치하겠습니다.], 긍정 텍스트 확률 : 84.30%"
"[ 안녕하세요 코인원입니다. 해당 안내메시지는 이미 핸드폰 인증이 완료된 경우에 나타납니다. 코인원 온라인고객센터로 사용중이신 휴대폰 번호를 기재하여 접수해주시면 확인 도와드리겠습니다.], 긍정 텍스트 확률 : 68.10%"
"[ 안녕하세요 코인원입니다. 이용에 불편을 드려 사과의 말씀 드립니다. 탈퇴프로세스는 더 빠른 처리를 위해 현재 개선중에 있으며], 긍정 텍스트 확률 : 59.83%"
"[ 안녕하세요 코인원입니다. 자세한 문제상황 및 오류화면을 준비하셔서 온라인 고객센터로 접수해주시면 관련부서에서 확인 도와드리겠습니다.], 긍정 텍스트 확률 : 63.62%"
"[ 안녕하세요 코인원입니다. 빠른 시일 내로 해당 기능 개발 및 적용을 통해 더욱 편리하게 사용하실 수 있도록 조치하겠습니다.], 긍정 텍스트 확률 : 84.30%"
"[ 앱실행시 화면꺼짐 방지기능이 있으면 좋겠네요...], 긍정 텍스트 확률 : 83.50%"
"[ 안녕하세요 코인원입니다. 온라인고객센터를 통해 자세한 문제상황을 서술하여 접수해주시면 확인 도와드리겠습니다.], 긍정 텍스트 확률 : 80.77%"
"[ 깔끔하고 이용하기 편하고 다좋은데 딱 한가지 코인종류가 너무 적은느낌이랄까요...ㅜ선택의폭이좁아요], 긍정 텍스트 확률 : 57.27%"
"[ 어플 충돌해서 실행안해도 대기제보. 가 자꾸뜸 ¶], 긍정 텍스트 확률 : 58.91%"
"[ 너무 좋아요 UI도 깔끔하고 빗썸], 긍정 텍스트 확률 : 94.20%"
"[  업비트 등 거래량 많은 거래소도 많지만 코인원을 이용했던 이유가 보안 때문이었는데... 이 어플 때문이라도 계속 코인원 써야겠네요], 긍정 텍스트 확률 : 57.27%"
"[ 가장 빠르고 보안까지 완벽한 느낌 써보면 왜 코인원쓰는지 알 수 있어요], 긍정 텍스트 확률 : 93.75%"
"[ 하루에 한번 토큰 만료되서 다시 인증할거면 그냥 웹페이지로 들가는게 빠르겟다], 긍정 텍스트 확률 : 62.42%"
"[ 로그인이 자꾸 풀려서 하루에 몇번씩 전화인증해야합니다], 긍정 텍스트 확률 : 67.90%"
"[ 역시 코인원답게 깔끔한 앱이네요 항상 잘 쓰고 있습니다], 긍정 텍스트 확률 : 95.12%"
"[ 콘돔원 안전함이 역시 최고군요. 감탄하고갑니다.], 긍정 텍스트 확률 : 92.89%"
"[ 빠르고안전하기로유명한코인원. 그안전함이마치콘돔을연상시킵니다. 오늘써보니우사인볼트가내눈앞을달려가듯속도감이장난아닙니다. 코인원.화이팅입니다.], 긍정 텍스트 확률 : 62.78%"
"[ 외국인은 로그인이 안되나요? 왜 그렇죠? 이미 등록되어 있는데 앱만 못쓴다니 이해가 안되네요..], 긍정 텍스트 확률 : 79.20%"
"[ 앱비트쓰다 깔아봤는데 너무 .... ㅋㅋㅋㅋㅋㅋ 삭제함 ㅂㅂ], 긍정 텍스트 확률 : 50.31%"
"[  코인원입니다. 짧고 간결한 피드백 감사드립니다.  감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.61%"
"[ 코인원 그래도 괜찮은 거래소아닌가요?], 긍정 텍스트 확률 : 88.59%"
"[  코인원 좋음비방글 올리지마삼코인원 2년째 거래중], 긍정 텍스트 확률 : 94.75%"
"[  가본적이 없어서 몰겠어요], 긍정 텍스트 확률 : 53.91%"
"[  저도 코인원 거래중...좋습니다], 긍정 텍스트 확률 : 92.83%"
"[  저도 코인원 거래중....좋아요], 긍정 텍스트 확률 : 91.81%"
"[  전 코인원이 안전하고 좋더라구요], 긍정 텍스트 확률 : 84.38%"
"[ 아주좋습니다], 긍정 텍스트 확률 : 89.47%"
"[  정보 잘 보고 갑니다.], 긍정 텍스트 확률 : 66.48%"
"[  정보 감사해요 ], 긍정 텍스트 확률 : 80.32%"
"[ 잘보고가요], 긍정 텍스트 확률 : 79.30%"
"[  정보 감사합니다], 긍정 텍스트 확률 : 80.32%"
"[  감사합니다 잘보고 가요], 긍정 텍스트 확률 : 92.41%"
"[  보따리목적으로는 그럴필요는없을듯요 ㅋ], 긍정 텍스트 확률 : 74.84%"
"[  귀찬을거 같아요 ㅠ], 긍정 텍스트 확률 : 54.68%"
"[ 코인원은 믿을만하지요 ㅋㅋㅋㅋ], 긍정 텍스트 확률 : 51.01%"
"[ 잘부탁합니다.], 긍정 텍스트 확률 : 65.31%"
"[  대박 화이팅], 긍정 텍스트 확률 : 97.32%"
"[  대박 화이팅], 긍정 텍스트 확률 : 97.32%"
"[  대박화이팅], 긍정 텍스트 확률 : 97.32%"
"[  운영진입니다.아직 비투카에 익숙하지 않으시죠?비투카는 수익인증이 핵심가치입니다.아래 2개의 글을 꼭 읽어보세요. 비투카와 친해지는 지름길입니다.   ① 덱스코인 10배 수익인증  ..539311 ..539311② 580 인증 ..629658 ..629658], 긍정 텍스트 확률 : 73.86%"
"[ 요즘은 업비트 ; 코인원], 긍정 텍스트 확률 : 51.86%"
"[  저요 아직 코인원 사용중..], 긍정 텍스트 확률 : 81.63%"
"[  코인원 요즘 코인 옴기려면 KYC 해야하는것 같던데 ... 그래도 믿음에 코인원이라 ㅎㅎ], 긍정 텍스트 확률 : 93.46%"
"[  얌전한 곳이긴 하죠], 긍정 텍스트 확률 : 70.96%"
"[ 코인원은 투명한 상장심사로 고객여러분들께 최선의 투자 기회를 드리겠습니다카톡으로 투자소식 받기  ..AJ ..AJ코인원에서 거래하기  . . 단축링크], 긍정 텍스트 확률 : 56.05%"
"[ 감사합니다], 긍정 텍스트 확률 : 80.32%"
"[  감사합니다], 긍정 텍스트 확률 : 80.32%"
"[ 역사와 전통의 거래소], 긍정 텍스트 확률 : 71.18%"
"[  코인원 가즈앗카톡으로 투자소식 받기  ..AJ ..AJ코인원에서 거래하기  . . 단축링크], 긍정 텍스트 확률 : 52.00%"
"[  저도 핸드폰에 위젯 설치하고 매일 들여다 봅니다.. ㅋ], 긍정 텍스트 확률 : 67.66%"
"[ 보라는 언제 올라가 ㅠ ㅠ], 긍정 텍스트 확률 : 86.49%"
"[  자세한 공지 나올듯요], 긍정 텍스트 확률 : 59.93%"
"[  감사합니다], 긍정 텍스트 확률 : 80.32%"
"[  빗썸에도 있습니다], 긍정 텍스트 확률 : 65.93%"
"[  네 있습니다 ], 긍정 텍스트 확률 : 63.74%"
"[  루나는 조심하세요 ㅠㅠ], 긍정 텍스트 확률 : 68.02%"
"[  그놈의 포지션 또 나왔네], 긍정 텍스트 확률 : 62.72%"
"[ 화이팅입니다 ㅋㅋㅋ], 긍정 텍스트 확률 : 94.72%"
"[  응원 감사합니다 제대로된 거래소 코인원은 앞으로도 고객님께 신뢰와 믿음을 드리겠습니다 카톡으로 투자소식 받기  ..AJ ..AJ코인원에서 거래하기  . . 단축링크], 긍정 텍스트 확률 : 98.31%"
"[  감사합니다 고객님 코인원은 정도 경영과 선별 상장을 통해 투자자님들께 최선의 투자 기회를 드리겠습니다카톡으로 투자소식 받기  ..AJ ..AJ코인원에서 거래하기  . . 단축링크], 긍정 텍스트 확률 : 95.00%"
"[  1번궂이 빅4 꼽자면 코빗까지], 긍정 텍스트 확률 : 60.63%"
"[  가즈아 많은 응원 부탁드립니다카톡으로 투자소식 받기  ..AJ ..AJ코인원에서 거래하기  . . 단축링크], 긍정 텍스트 확률 : 65.44%"
"[  기술력을 종합 판단하여 가능성 있는 코인만 선별 상장하고 있습니다 많은 응원 부탁드립니다 카톡으로 투자소식 받기  ..AJ ..AJ코인원에서 거래하기  . . 단축링크], 긍정 텍스트 확률 : 56.19%"
