"[샤오미 미투 유모차를 사자는 거예요. ], 긍정 텍스트 확률 : 50.33%"
"[ 가벼워서 들고다니며 가까이에 두고쓸 수 있어서 효과를 더욱 극대화 할 수 있다는점이마음에 듭니다.부피가 크면 들기도 어렵고 무거워그 거실에 그대로 두고 쓰는데이건 자리를 옮길때마다 같이 들고 다니고 있어요 ], 긍정 텍스트 확률 : 95.30%"
"[ 단계가 있는데 소음도 차이가 있어요단은 정말 아무 소리도 안날 만큼 조용합니다.기대했던거 만큼이나 앙증맞고 예뻐서 다행이에요 ], 긍정 텍스트 확률 : 79.19%"
"[ 원통모양에 하부에는 도 모든 방향으로흡입구가 있어 전 방향 맑게 해 줍니다.특히 예쁜 디자인 으로 어디에나 잘 어울리네요 ], 긍정 텍스트 확률 : 99.19%"
"[ 년 무상 완전 마음에 드네요 최근 기승하는 미세먼지 때문에 공기청정기들인기가 아주 많더라구요 직원동료도 마트가서 알아봤더니 예약하고 가도 주후에나 받아볼 수 있다고 하네요그만큼 ....요즘 심각한 문제이긴하죠 ], 긍정 텍스트 확률 : 98.85%"
"[ 등등소형공기청정기 휴대하고 다니며사용 하기에도 좋겠어요외출시 마스크 꼭 착용 하고 다니시고공기청정기로 관리하세요 ], 긍정 텍스트 확률 : 64.21%"
"[일동안 아이를 키우면서 직접 사용해본 육아용품을 정리해봤다. 지극히 주관적인 의견이고], 긍정 텍스트 확률 : 51.24%"
"[조리원에서 집까지 차로 분정도인데 바구니카시트가 필요할까 싶었다. 게다가 우리애는 가을에 태어나 외출이 가능할때쯤이면 겨울이라 외출도 못할텐데], 긍정 텍스트 확률 : 69.05%"
"[자연기화식으로 바꾸려고 알아보다가 샤오미 구입. 디자인도 군더더기없이 깔끔하고 일단 가격이 최고 장점 대륙힘조 이 가습기의 가장 큰 단점은 역시 세척방법이지만... 그래도 수건 널어놓는 것보다 미관상 예쁘니까 ㅎ ], 긍정 텍스트 확률 : 99.93%"
"[매우 다양함. 여튼 무조건 강추 아이템 여기 뉘어놓는다고 개워내지 않는건 아니지만 아기 눕혀놓기 정말 좋다. 앉기전까지 아기가 앉는눕는 쇼파라 생각하면 될 듯 ㅎㅎ ], 긍정 텍스트 확률 : 98.20%"
"[흑백 모빌을 질려 할 때쯤 일 이후에 컬러로 바꿔주니 다시 잘 본다. 모빌 틀어주면 그 사이에 집안일을 볼 수 있어서 좋음. 이젠 노래 순서를 다 외울 지경. 아], 긍정 텍스트 확률 : 69.58%"
"[그리고 이건 우리집만의 에피소드인데. 흑백모빌에서 컬러로 바꿔줬는데도 흥미를 못느껴서 이제 모빌은 치워야 하나 싶을 때쯤 뭔가 이상한 걸 감지했는데. 알고보니 배터리가 다 돼서 노래가 늘어진 것이다. 모빌 움직이는 속도도 너무 느려지고...ㅋㅋㅋ 그래서 건전지 갈아주니 노래도 다시 정상적으로 나오고 모빌도 잘 돌아가니 잘 보더라는...ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 86.85%"
"[ · 슈너글 아기욕조신생아때는 욕조가 좀 큰 편이고 목을 제대로 가누지 못해서 제대로 활용을 못하는 듯 싶었는데 점점 목을 가누기 시작하면서 잘 앉아 있게 되어 편하게 사용중이다. 사실 목욕은 남편이 시켜서 잘 모름...ㅎㅎ 욕조가 작아지면 내다 팔 생각이었는데], 긍정 텍스트 확률 : 98.85%"
"[ . 베이비뵨 베이비캐리어 미니메쉬나는 백효정보다 베이비뵨 베이비캐리어를 훨씬 잘 사용중이다. 베이비캐리어라 오래 사용할 순 없을 것 같은데], 긍정 텍스트 확률 : 80.64%"
"[리클라이너 쇼파가 올라갈 때 매트에 걸리는 치명적인 단점이 발생했다. 정말 도 생각지 못한 부분이라 당황잼. 아직은 아기가 기어다니는게 아니라 쇼파에서 띄워놓고 사용중인데 나중에 걷게 되면 저 사이로 발이 빠지게 될테니 어찌 해야하나 고민이다. 흑흑. ], 긍정 텍스트 확률 : 70.34%"
"[ · 수납장리바트 프렌즈아이 마카롱출산 전부터 물려받은 옷과 장난감이 많아서 미리 준비해놨던 수납장. 애기 옷장은 따로 없고 외출복은 내 옷걸이를 비워서 공간을 마련해줬고], 긍정 텍스트 확률 : 76.70%"
"[ · 유모차리안 스핀로얄디럭스유모차는 라이프스타일에 따라 달라질 것 같다. 우리집은 엘베 없는 층이라 나 혼자 있을 때는 유모차끌고 밖에 나갈 일 없을 것 같아서 봄이나 되면 휴대용하나 사야지싶어서 디럭스는 생각도 안했는데], 긍정 텍스트 확률 : 93.45%"
"[ · 치발기마마스템 잼잼글럽 치발기도 보험사 사은품으로 받은게 있긴 한데], 긍정 텍스트 확률 : 55.58%"
"[국민템은 이유가 있다 싶어서ㅋㅋ 마마스템으로 샀다. 마침행사중이라 두개 구입. 손을 많이 빨고 손에 잡히는대로 입으로 가져가길래 쥐어줬는데 아직 완벽하게 입에 넣지를 못해서 입에 넣도록 도와줘야 함.], 긍정 텍스트 확률 : 86.19%"
"[결론적으로 매우 잘한 일. 맘마 먹일때 팔걸이 높이는 안맞아서 조리원선생님들처럼 활용도가 높진 않지만], 긍정 텍스트 확률 : 57.24%"
"[바로 옆 우리 침대위에 방수매트 깔아놓고 기저귀갈이대처럼 사용하니 너무 좋다. · 수유쿠션오케타니 수유쿠션수유쿠션은 타임세일로 득템했었는데], 긍정 텍스트 확률 : 63.39%"
"[그리고 다시 조리원에서는 모유와 혼합했지만 본유는 남양 아이엠마더로 했다. 그리고 집에 오자마자 바로 매일유업 유기농 궁으로 바꿨는데], 긍정 텍스트 확률 : 90.90%"
"[이게 황금변으로 유명하다 해서 바꿨는데 왜 우리애기는 녹변을 보게 되는지 녹변도 정상이라 하고], 긍정 텍스트 확률 : 78.87%"
"[ ·젖병소독기스펙트라 젖병소독기젖병소독기 구입은 정말 고민 많이 했지만 결론적으로는 잘 샀다. 육알못인 내가 알정도로 유명한 유팡을 살까 했으나], 긍정 텍스트 확률 : 65.84%"
"[더블하트는 괜찮다는 말도 있고.. ㅠㅠ 약간 찜찜한 마음으로 사용중이긴 하다. 그치만 너무 편하다 ㅠㅠ 젖병 세척해서 건조대에 살짝 말리고 분 건조소독 돌리면 완전 편함. 주회 열탕소독중 ], 긍정 텍스트 확률 : 99.93%"
"[ · 젖병더블하트 젖꼭지 모유실감다른 젖병은 사용해보지 않아서 비교불가. 병원과 조리원에서는 그린맘 사용 공기 유입이 적은 것 같고], 긍정 텍스트 확률 : 70.43%"
"[일단 많이 사용하는데는 이유가 있다 싶어서 이용 중 ], 긍정 텍스트 확률 : 50.33%"
"[ 눈치 챘겠지만 우리는 바운서 없이 육아중이고], 긍정 텍스트 확률 : 85.96%"
"[몇번 간절했던 적은 있으나 없으면 없는대로 잘 키웠다. 물론 있었으면 훨씬 편했겠지만], 긍정 텍스트 확률 : 87.21%"
"[비교적 순한 아이라 가능했던 것 같다. 애기의 성향에 따라 태어난 후에 준비해도 되는 것들은 차근차근 준비해도 늦지 않으니 신중히 구매하시길..], 긍정 텍스트 확률 : 72.11%"
"[.육아는 템빨이란 말을 너무나 많이 들어왔기에 출산 전에는 이것두 사야지 저것두 사야지 하며 캡쳐에 링크복사에 어마어마하게 해두었는데ㅎㅎㅎ 남손에 키우다보니 소위 “템빨”로 아기 키울만큼 고되지 않고 또 의심병 초기 환자로서 의심가는?ㅋㅋ 템들도 많아서 상대적으로 꼭 필요한 템들 아니면 구비를 안했다. 후기는 국민’아이템이라는 것들 위주로 했고아마 출산 전 국민’아이템 들이기에 고민중인 분들에게 도움이 될 듯... 육아템은 때에 따라 끊임없이 구비해야 하기에ㅠ.ㅠ 갤 아기 기준임을 우선 밝힘. 순서는 아기 사진첩 첨부터 보고 아이템 보이는대로 나열한거라 순위 순서가 아님을 밝힘. ....?레이퀸아기욕조레이퀸아기욕조 ..선물받은 템. 아기받침대], 긍정 텍스트 확률 : 65.61%"
"[큰욕조 세트인데 가성비템은 아니다. 비싸고 좋은 아이템. 온도계가 바닥에 부착되어 있어 별도의 온도계가 필요없고], 긍정 텍스트 확률 : 72.32%"
"[ .....?타이니모빌타이니모빌.?국민모빌국민모빌.?쁘띠라뺑아기침대쁘띠라뺑아기침대 ..타이니모빌은 두고두고 본다는데 우리는 갤 지나고부턴 안봄ㅠ 하지만 그 전까진 정말 제의 내니였음ㅎㅎ 좋은 도움이었다 타이니모빌 이건 중고로 사기 좀 그런게ㅠ 아이들이 좀 크면 인형 물고 빨고 하기 때문에... 새거 선물 요청하는걸 추천 거의 무.조.건. 있어야하는 템이라고 보면 됨ㅎㅎㅎ .?아기침대아기침대 는 안전문제도 있고 해서 고르고 골라 괜찮은걸로 프레임은 중고매트리스는 새걸로 샀는데 아기가 침대를 별로 안좋아해서 일전후로 팔았다. 그 전까진 잘 재웠지만 막 엄청 유용하진 않았어서... 둘째는 침대 비싼거 안살것같다], 긍정 텍스트 확률 : 64.50%"
"[ ....?아기쪽쪽이아기쪽쪽이.?공갈젖꼭지추천공갈젖꼭지추천 ..왼쪽부터.?닥터브라운닥터브라운.?아벤트수디아벤트수디.?스와비넥스스와비넥스 . 지금까지 꾸준히 잘쓰는건 스와비넥스. 확실히 공갈지지대?까지 고무로 된걸 잘빤다. 아벤트수디는 넘귀여운데 곰돌이 때메 무거워서 자꾸 떨어지는게 흠 ㅠㅠ 근데 쪽쪽이는 정말 아기바이아기라ㅠㅠ 뭐가 더 좋다고 이야기할 수 없고 여러종류 물려보는게 답인듯.], 긍정 텍스트 확률 : 96.72%"
"[ ....?아기띠아기띠.?아기띠추천아기띠추천 .. .?코니아기띠코니아기띠.?포그네아기띠포그네아기띠 두종류 썼고], 긍정 텍스트 확률 : 65.75%"
"[싼게 비지떡이고 비싼게 좋은건 진리인듯 하여... 가성비용품 잘 가려 살 자신 없으면 보통 비싼걸 사는데ㅎㅎ 포그네는 힙시트로 시작해서 지금까지도 제일 잘쓰는 아이템이다. 가격빼고 별로 흠잡을 곳이 없다. 사실 아기띠는 유모차만큼이나 자주 쓰는 아이템이라 좀 돈을 들여도 된다고 생각한다.], 긍정 텍스트 확률 : 94.16%"
"[ .....?로토토역류방지쿠션로토토역류방지쿠션 ..별 기대 없이 선물받은 템인데...지금까지 너무 잘 쓰고 있는 필수템ㅎㅎ 눕혀서 수유도 하고 잠도 재우고 배밀이 할 때는 엎져 배밀이도 시키고ㅎㅎ 정말 도움이 많이 된 아이템내니], 긍정 텍스트 확률 : 90.08%"
"[ ....?아기이불아기이불.?엘림아기이불엘림아기이불 ..어른도 계절별로 이불이 필요한데 싶어서 당연히 필요할 줄 알고 출산 전 영업당해서 아기이불세트를 샀는데... 망고짝에 쓸모가.... 아기이불이랍시고 알록달록해서 긍가 비싸기만 하고ㅋㅋ 한가지 장점이], 긍정 텍스트 확률 : 84.76%"
"[깔개 덮개 베개를 돌돌말아 휴대할 수 있게 되어 있는데], 긍정 텍스트 확률 : 73.03%"
"[ ....?피셔프라이스아기체육관피셔프라이스아기체육관 ..지금까지도 잘쓰는 제의 내니ㅋㅋㅋㅋ 이렇게 싼 가격에 이렇게 훌륭한 제품이 있다니 언급한 아가용품 중 최저가인 것 같은데ㅎㅎ 가성비 대마왕 이건 반드시 들이셔야 합니다.... 하지만 또 아가가 시러하면 말짱 황 저렴한만큼 새거 사길 추천 혼자서 분 거뜬 엄마는 분이면 매우 많은 일을 할 수 있음ㅎㅎ], 긍정 텍스트 확률 : 99.45%"
"[리첼은 또 최고 추천템이긴 한데... 둘 중에 하나만 구비해도 될 것 같다. 그렇다면 의심없이 리첼 신생아땐 앉아있는 빈도나 시간이 극히 적고], 긍정 텍스트 확률 : 63.08%"
"[리첼은 어디든 갖고 다니면서 쓰기 넘 좋아서 정말 최애템. 아기가 뒤집고 잡고 일어서기 시작하면서 의자에 안앉으려 하지만 지금은 씻길 때 앉혀서 잘 쓰고 있음. 매우만족 중고로 사서 뽕뽑는중ㅎㅎ 중고로 사도 무관.], 긍정 텍스트 확률 : 98.09%"
"[ .....?영아장난감영아장난감.?블루래빗사운드북블루래빗사운드북.?튤립사운드북튤립사운드북.?라마즈인형세트라마즈인형세트 ..사운드북은 외출 필수템. 라마즈세트도 중고로 사서 정말 한참 잘갖고 놀았다. 인형은 아이들 기호를 많이 타서 중고 중에 거의 새상태 같은 것들이 종종 있다. 나는 중고를 적극 이용하는 편이고], 긍정 텍스트 확률 : 69.56%"
"[ ....?점퍼루점퍼루 ..이것도 정말 짧게 써서ㅠ 빌리던지 대여하는게 답인 듯. 하지만 일정기간 동안은 너무 잘 놀아서 엄마 분 이상 개인시간 가능ㅎㅎ 필템이긴 하다.], 긍정 텍스트 확률 : 99.06%"
"[ .신생아 땐 우린 별로 외출을 안해서 실질적으로 캐리콧 쓸 기간은 지극히 적었다. 안방에 캐리콧 세워두고 아기 재우는 용도로 가끔 썼고... 다시 산다면 굳이 듀오 안살 듯. 캐리콧 효용성이 떨어짐. 잉글레시나는 핸들링이 저렴이들보다 좋긴 한데 스토케나 부가부보단 확실히 떨어진다. 우리처럼 핸들링을 좀 잃어도 기동성을 못잃는 사람들에게 적합한 제품ㅎㅎ 유모차는 워낙 오래 많이 쓰는 제품이라 중고는 상태가 너무 안좋을 것 같다. 빌리기엔 너무 오래 쓰고. 새것 사거나... 물려받는게 최고인 듯ㅎㅎ], 긍정 텍스트 확률 : 50.38%"
"[싸이백스와 함께 비교하고 산 뉴나. 사양이나 이런 것은 구매 전 연구 담당이었던 신랑이 잘 알아서 자세한 설명은 힘들고ㅠ 엄마인 내가 쓰기엔... 어려움은 없지만 차양막이 완전히 다 안가려진다거나 각도조절이 적게 되는 점 등의 지엽적 불만이 있는 정도. 카시트도 안전 때문에 꽤 비싼걸로 샀는데 쓸 수 있는 기한이 짧아 좀 돈아까워하는 중 ㅠㅠ 다시 산다면 가성비 따져서 살 것 같다. 크크 ], 긍정 텍스트 확률 : 98.05%"
"[옷 다 진짜 유용하게 쓰는 중. 특히.?카터스우주복카터스우주복 은 무조건 쟁여야 할 템. 다섯개 불인가 한다는데 천도 좋고 빨아도 안늘어나고 정말 좋더라. 괌에는 영어책도 많으니 사오라고 부탁했는데 두권 사와서좀 아쉽지만ㅎㅎ 담에 영어책 사러 한번 가야할 듯], 긍정 텍스트 확률 : 91.62%"
"[ ....?스위마바목튜브스위마바목튜브.?이케아욕실패드이케아욕실패드 ..목튜브는 말해 뭐해 친오빠한테 선물받아 벌써 뽕뽑음ㅎㅎ 신생아 때 이걸로 운동 정말 많이 했다. 중고로 사도 될 아이템. 이케아욕실패드 친오빠가 사왔을 때 이걸 어따써 했는데 깔아주니 아기가 수영하면서 훨씬 잘놀더라. 뜻밖의 육아템이었다ㅎㅎ], 긍정 텍스트 확률 : 67.40%"
"[생각보다 드께가 얇고 약간 오톨도톨밀리지 말라고 그런 재질인듯해서 청소하기 좀 불편하겠단 생각이 들었다. 아기가 걷기 시작하면 또 아소방처럼 바닥에 착 붙는게 아기가 걸려서 안넘어지고 좋다는데 그때가서 이걸 팔고 바꾸더라도 일단 지금까진 만족스럽게 사용중.], 긍정 텍스트 확률 : 90.48%"
"[ .큰 집으로 이사오면서 거실은 아기놀이방 화ㅎㅎ 엄마는 행복하다 아가 ㅋㅋ], 긍정 텍스트 확률 : 97.95%"
"[ ....?스토케트립트랩스토케트립트랩 ..시엄니가 선물해주셨는데], 긍정 텍스트 확률 : 72.31%"
"[각 단계마다 너무 유용하게 잘 쓰고있다. 트레이랑 베이베체어 필요할 때 때마침 아빠가 유럽 출장 있어서 거기서 싸게 구매해와서 잘 쓰고 있음. 이유식 시작할 때부터 여기 앉혀서 먹였더니 이제는 앉히면 먹이는 줄 알고. 아가들 식습관 들이는데도 좋은 듯 하다. 중고로 사도 되지만 듣기론 중고로 사는게 더 힘들다고ㅎㅎㅎㅎ 아참 스토케코리아가 철수해서 가 어떻게 될지.... 확인해보고 구매해야할 듯], 긍정 텍스트 확률 : 78.79%"
"[ ....?졸리점퍼졸리점퍼.?졸리점퍼슈퍼스탠드졸리점퍼슈퍼스탠드 ..중고나라에서 무려 키워드알림까지 해놓고ㅎㅎㅎ 구매한 제품. 직구 가격이 만원 중반대인데 너무 비싸다ㅠㅠ 에 구매해서 뽕뽑을 만큼 잘 탔다. 오래 태우면 안된데서 한번에 분정도만 태웠는데 확실히 운동이 많이 된다.근데 조동들 보니 막 필수템은 아닌 것 같은게... 잘타는 아기 반 아닌 아기 반이라. 렌트나 중고가 답인 아이템ㅎㅎ], 긍정 텍스트 확률 : 85.02%"
"[스피커기능 다 되고 화질도 생각보다 좋다.], 긍정 텍스트 확률 : 76.24%"
"[.개월 지한군 요즘 책에 있는 동물.그림과 자석보드 동물자석.블럭동물 서로 같은 동물 찾기 한창입니다..여러가지 동물책과 시각적 자료를.보드에 부착해주니 .서로같은 그림찾기.길가다가 같은 모양 자동차찾기를합니다..요즘 부적 호기심이 늘고 있어요..다양한 개월 아기 교육 자료 공유해요.이번주 주말나들이 청주동물원.솔직후기 올려드려요..시각적으로 예민한 지한이에게 어떤 .자료들을 제공해야 할까.어떤 놀이를 할까.매일고민합니다..요즘 개월 지한이가 가장 많이 하는 말.트럭], 긍정 텍스트 확률 : 99.61%"
"[어흥이 등 동물과 자동차 관련 언어입니다..그래서 요즘 지한이 교육 방법 올려드려요 ], 긍정 텍스트 확률 : 97.11%"
"[ .아이들 마다 조금씩다르겠지만지한이는.같은 모양 같은 그림을 찾고 비교하는거.좋아합니다..또한 자동차를 타고 밖에 지나가는 트럭.보는걸 너무 좋아하며 이제 제법.발음도 정확히 트럭 해여. ], 긍정 텍스트 확률 : 85.58%"
"[ .다음은동물입니다. 집안에 다양한 동물들의.이미지를 구별하고 동물에 울음소리나.이름읗 말하면 찾아서 엄마에게.가져다 주는 놀이 해요..같은 모양의 동물들을 모아서 가져옵니다..예를들면 기린 이라고 외치면 .블럭기린과], 긍정 텍스트 확률 : 92.06%"
"[자석기린.그림기린을 다가져오는 형식입니다..시각적으로 예민한 아이라그런지.같은 그림 모양 찾기를 잘합니다..조금빨리 하는것 같아요.화실앞 꼬꼬집에서 닭을 보면 꼭 자석닭 모양과.일치 시킵니다...이렇게 놀아주기는 이제 달 정도 된거 같아요.책이 너덜너덜.그래서 오늘 가까운 근교 동물원으로.실물 보여주기 출동.천안가볼만한곳 .아산가볼만한곳 .청주가볼만한곳 추천드립니다..근거리에 위치한 동울원이라. ], 긍정 텍스트 확률 : 99.35%"
"[ .무인 매표소도 있고 주차장도 넓어요. .성인 인 기준 천원입니다..주차장은 무료예요. ], 긍정 텍스트 확률 : 61.91%"
"[ .들어가는 입구 짧고 좋네요.그래도 유모차는 필수.언덕에 위치한 동물원이라 아이가.다 걸어서 보기에는 힘들어요.가파른 언덕 위 동물원입니다. ], 긍정 텍스트 확률 : 84.05%"
"[ .다양한 색상의 앵무새들입니다. ], 긍정 텍스트 확률 : 58.27%"
"[ .충격적인 사이즈의 아나콘다도 있어요 ㅜㅠ.꿈에 나올까 무서운 파충류 입니다...열대관을 나오면 ], 긍정 텍스트 확률 : 95.49%"
"[ .아쉽게도 공사중이라 멀리서본 홍학등 .엄청 큰 새장 ], 긍정 텍스트 확률 : 87.48%"
"[ .독수리가 누워서 자나요??.ㅜㅠ 더워서 그런지.아이들이 아픈지... 독수리가 바닥에 누워서.쉬네요 개인적으로 갇힌 아이들을 보니 맘이.편하지 않습니다. ㅜㅠ .하지만 아들을 위해서 도전 전 개인적으로 동물원 안좋아해서 ㅜㅠ ], 긍정 텍스트 확률 : 90.45%"
"[ .포토존 사진한장.실제 동물보다 모형을 더좋아라 하는 개월아기 ], 긍정 텍스트 확률 : 80.79%"
"[ .어린이동물들이 있는 곳으로 오르는길에 만난.친구들 다들 더워서.숨어 있거나 집에서 쉬어서.몇 친구들만 만났어요 ], 긍정 텍스트 확률 : 73.72%"
"[ .관계자 분께서 설사 한다고 .양배추에도 독성이 있다며 ㅡㅠ.과자나 기타 음식들은 안주는것이 예의 인듯.싶네요 ], 긍정 텍스트 확률 : 63.96%"
"[ .라마?? 넌또 누구니?.처음보는 친구입니다.토끼도 캥거루도], 긍정 텍스트 확률 : 50.69%"
"[ .이제 끝인가요 ㅜㅠ 했는데 아직 끝나지.않은 동물원.물범과 수달.수달은 더워서 다들 집에.물범은 수영중 ], 긍정 텍스트 확률 : 62.49%"
"[ .오늘 하루 알차게 눈으로 즐겁게.주말나들이 ], 긍정 텍스트 확률 : 92.74%"
"[ .작지만 알차게 즐거웠습니다..음 동물들이 더워서 그런지 아파보였어요.주차], 긍정 텍스트 확률 : 84.01%"
"[내용 모두 만족입니다..등산한 기분 피곤한 지한군..집앞에 기다리고 있는 지한군 선물.샤오미자전거 입니다. ], 긍정 텍스트 확률 : 94.58%"
"[아무것도 염려하지 말고다만 모든 일에기도와 간구로너희 구할 것을감사함으로하나님께 아뢰라빌립보서], 긍정 텍스트 확률 : 96.45%"
"[ .한샘 기사님 기다리는 동안 소나기가 불러일으킨 김치전욕망으로 뚝딱 반죽해서 부쳐먹었당 신김치로 하니까 대박 어쩜 이렇게 쫄깃쫄깃 맛있닝😭..... ], 긍정 텍스트 확률 : 96.29%"
"[ .월 일 목요일민희언니랑 부평공원 앞 브런치가게에서 점심심사약속이 있었는데 새우로제파스타와 부채살스테이크가 정말정말 꿀맛이었당🍝🥩 결혼하고 신랑과 함께 섬기는 지금 교회에서 만난 동역자인데 참으로 귀하다🙏🏻..... ], 긍정 텍스트 확률 : 87.21%"
"[ .언니가 맛있는 식사를 대접해주어서 나는 근처 카페에서 라떼와 레드벨벳케이크로 보답🍰☕️...... ], 긍정 텍스트 확률 : 55.09%"
"[ .야근하는 신랑 기다리며 삼성카드 베이비키트에 들어있던 신생아손싸개를 꺼내어 뚝딱 만들어봤다. 바느질은 즐거워.조이야], 긍정 텍스트 확률 : 67.89%"
"[이거 엄마가 직접 만든 손싸개란다♡ 조이 작은 손을 소중하게 감싸줄거예요😌...... ], 긍정 텍스트 확률 : 80.77%"
"[ .월 일 금요일오랜만에 점심밥을 해먹은 것 같다. 요즘 귀찮아서 가끔 컵라면으로도 떼우고 간식으로 대충 떼우기도 했는데 자주 집에 방문하시는 친정엄마 덕분에 풍성해진 식재료로 깻잎계란부침도 하구 고구마밥도 하구 어묵조림], 긍정 텍스트 확률 : 53.92%"
"[새우볶음 정말 맛있게 냠냠했다😋...... ], 긍정 텍스트 확률 : 53.27%"
"[ .그리고 타이니러브 프린세스테일즈 수더앤그루브 모빌도 설명서 안보구 혼자서 척척 조립완성했드아..... ], 긍정 텍스트 확률 : 86.66%"
"[ .후식으로는 물렁이 복숭아🍑와 골드키위🥝로 마무리....... ], 긍정 텍스트 확률 : 52.73%"
"[ .월 일 금요일드디어 왔다 울 조이 유모차 유미 유모차울 조이 이름을 유미로 거의 확정?했다ㅎㅎ 울 신랑의 성씨인 이와 저의 성씨인 류를 합쳐서 이유를 꼭 이름에 넣고싶었고 여아라 마지막을 어떻게 할까 하다가 여러 후보가 있었는데 유미가 제일 이뻤다 ㅎㅎ 아 요즘은 유모차라고 안하고 유아차라고 한다더라. 엄마만 끄는 차가 아니라 아빠도 함께 끌어서 유아차이기도 하고 성구별을 없애려는 시대적 움직임도 한 몫 하는 듯 하다 암튼 울 신랑이 유모차 조립하기 시작...... ], 긍정 텍스트 확률 : 99.44%"
"[ . .?부가부부가부 유아차 완성하고 찍어본 사진들 엄청 많이도 찍었네 신디바바에서 구매한 백조모빌도 달아주고🦢🦢🦢 엄마욕심이 .로 반영되어 결정한.?부가부비스팅부가부비스팅 블랙샤시프레쉬화이트캐노피 조합인데 집에서 유아차 적응시킬겸 배시넷도 욕심내서 샀는데 히히 너무 이쁘다 울 아가 타고 있는 모습도 얼른 담아주고싶다💕...... ], 긍정 텍스트 확률 : 99.98%"
"[ .월 일 주일예배가 모두 끝나고 오후에 저녁약속으로 모임을 가졌다. 춘의역 옆 작은 아파트단지에서 까치울 전원마을로 이사간 청춘고백 덕규오빠의 집들이에 초대받은 반가운 옛 고향 교회 청년부 멤버들과 함께ㅎㅎ 울 신랑도 함께 참석 이들과 세번째 만남이라 신랑도 되게 편하게 자리에 함께해서 기분 좋았당😀...... ], 긍정 텍스트 확률 : 99.84%"
"[ .월 일 수요일명절 전날이라고 점심먹구 퇴근한 신랑과 함께 주차 검진을 갔다왔다. 태동검사를 하는데 조이가 참 활발하게 놀구있었다. 태동검사 받는동안 다른 간호사님이 셀트리 제대혈 설명을 열성적으로 하시는데 주변에 하는 사람도 없고 나도 신랑도 별로 관심이 없어서 귀에 잘 들어오지 않았다. 우리는 기도로 키워야지😭 지난번에 심전도검사 해주셨던 간호사분이랑 좀 친해졌는데 명절 잘 보내라고 해주시면서 손수건을 세개나 챙겨주심 ㅎㅎ 그리고 난생처음 내진을 받아봤는데 듣던대로 느낌도 기분이 참 이상했다. 아직 아가가 많이 안내려와서 예정일까지 기다려봐도 되겠다고 한 주 뒤에 검진을 예약하고 왔다....... ], 긍정 텍스트 확률 : 53.37%"
"[ .병원진료 후 급 피곤해져서 집에 와서 좀 쉬다가 저녁으로 된장찌개], 긍정 텍스트 확률 : 55.32%"
"[ .월 일 토요일추석당일에는 시댁에서 우리부부 집으로 와주셨는데 바쁘신 시어머니께서 잡채랑 소고기수육무침 등등 해오신 요리로 저녁에 잡채밥을 해먹었다 ㅋㅋㅋㅋㅋ 잡채밥 꿀맛 ㅋㅋㅋ...... ], 긍정 텍스트 확률 : 57.39%"
"[ .월 일 월요일이유부부의 결혼 주년👰🏻💕🤵🏻 아침 일찍? 일어나 택배상자를 뜯어 샤오미 온습도계의 오차를 체크했는데 생각보다 둘 차이가 많이 안나서 다행이었다. 다른 후기 보면 창가 많이 난다고 이상하다는 후기도 많았는데 우리껀 무난해서 만족...... ], 긍정 텍스트 확률 : 64.23%"
"[ .명절 다음날에 전직원 단체연차여서 마침 결혼기념일을 함께 보내게 되어 완전 기분 좋았던 이유부부 오랜만에 고양스타필드에 갔다왔다 뭔가 로맨틱하고 분위기 있는것도 좋았을텐데], 긍정 텍스트 확률 : 100.00%"
"[실속있게 우리가 좋아하는 데이트를 선택ㅎㅎ 자니로켓에서 신나게 먹구🍔🍔🍔🍔🍔🍟🍟🍟🍟🍟...... ], 긍정 텍스트 확률 : 94.80%"
"[ .저녁으로 신랑과 함께 요리했더니 하나도 안 힘들었다 ㅎㅎ 오랜만에 참치김치찌개🥘랑 엄마표 갈비🥩], 긍정 텍스트 확률 : 81.57%"
"[ 낼이면 임신 주지난 주말 다녀온 정기검진에서는이제 아기 폐가 완성이 되어서언제 나와도 된다는 말을 들었어요 헙아기 성장이 빠른편이라 주정도는 빨리 아기를 만나야 하니 운동을 열심히 하라고...ㅎㅎㅎㅎ이제 주정도 뒤면 뽀니를 만날 수 있다니그동안 운동도 열심히하고남은 출산준비도 마무리해야겠어요 ], 긍정 텍스트 확률 : 64.60%"
"[단단한 원목 침대에요 ㅎㅎㅎ아기침대는 대여할 생각이었는데 마켓비에서 선물로 주셔서 넘 감사하게 덥썩 받았습니다.매트리스는 성장에 맞게 바꿔줄 생각이며 또 아기침대는 오래 못쓴다는 조언을 많이 들은터라저렴한 이케아 매트리스 선택했어요 .직접가서 만져보니 제일 저렴한 ], 긍정 텍스트 확률 : 90.39%"
"[ 원 플루티그는 너무 싸구려 느낌이라ㅠㅠ], 긍정 텍스트 확률 : 71.06%"
