"[ 이번주에도 어김없이 하이브리유모차꺼내들고 놀러갔다왔지용현재 승차하고 계신분은 우리집 둘째 두콩이너무 숙면하길레 집에서 지하주차장까지만 태웠어요 ], 긍정 텍스트 확률 : 63.31%"
"[빨리 와서 너무나 좋았던], 긍정 텍스트 확률 : 91.84%"
"[ 유모차 같은 경우는 정말 많은 부분을 따져가면서 고르고 골라 구입을 하게 되는데], 긍정 텍스트 확률 : 70.73%"
"[디럭스 같이 따로 분리 해서 차 트렁크 가득 실어야 하는 불편함이 없어서 너무 좋았다 그리고 가장 만족한 부분은 핸들링 핸들링이 정말 부드럽다. 그리고 그만큼 브레이크의 성능도 좋다 우리 아가용품중 가장 맘에 들어하는것중 하나가 이 하이브리드프리미엄 휴대절충형 유모차 인데 지인들도 사용해보고서는 본인들 주라며... 네....?? 그러지 맙시다 우리 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 73.78%"
"[ 우리애기 더 커지더라도 걱정없는 안전한 휴대용 유모차는 하이브리드프리미엄 휴대절충형 유모차 너가 짱이다 ], 긍정 텍스트 확률 : 50.63%"
"[안녕하세요오랜만에 왔어요제가 오랜만에 소개할 제품은 바로 휴대용 유모차예요베이비가 개월이 다 되어 가고 사촌 언니가 빌려줬던 디럭스를 이제 돌려줄 때가 되서 알아보던 중 하이브리드유모차를 알게 되었어요 ], 긍정 텍스트 확률 : 81.03%"
"[ 휴대용으로 사용가능하지만 휴대절충형으로 다른 휴대용유모차에 비해 튼튼하더라구요사실 디럭스만 쓰다 처음 휴대용을 접하게 되어 뭐가 이렇게 가볍지...? 했는데와.. 신세계... 제가 현재 둘찌를 임신 중이고 친정이 차로 분 거리인데장롱면허라 신랑이 데려다 줄 때 말곤 엄두를 못냈거든요..유모차없이 이동은 생각도 안했어요그런데 이번에 하이브리드 유모차를 구입하고 처음으로 아기 데리고 택시를 타고 친정에 다녀왔답니다 .짝짝짝짝짝 ], 긍정 텍스트 확률 : 71.40%"
"[ 할머니 집에 도착해서의 사진이예요제가 혼자서도 택시를 타고 갈 수 있었더건. 매우 가볍다. 폴딩이 쉽다. 단으로 접혀 좁은 승용차 트렁크에도 실린다제 동생 소형뒷자석에도 비좁지않게 실리더라구요 이젠 아기 데리고 어디든 갈 수 있어요ㅜㅜㅜㅜ 너무나 행복한 것 ㅠㅠㅠ저희는 그래서 집에서 보관할 때 접어서 놔둬요 공간 활용에 너무 좋아요 ], 긍정 텍스트 확률 : 99.75%"
"[ 이게 최대로 올렸을 때 모습이예요키가 작거나 어린아이들한테 좋을 것 같아요특히나 제가 추천하고 싶은 건 핸들링바퀴 자체가 휴대용치곤 큰 편이라 안정감 있게 부드럽게 잘 되더라구요한손으로도 아주 잘 되요저희 이모가 써보시더니 유모차 잘 바꿨다며 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.59%"
"[올여름 울가족끼리 첫 여행을 떠나게 되었어요.점점 애기 짐이 많다보니.. 디럭스 유모차를 가지고 여행가기에는 너무 힘든 여정이 될거 같아.. 급하게 휴대용 유모차를 알아보다가 하이브리드 캐비플러스 유모차를 알게 되었어용], 긍정 텍스트 확률 : 83.78%"
"[ 드디어 리조트에 와서 체크인 하고 리조트 주변에 산책하러 나왔는데 울아들 넘 행복해 하는 모습보니 너무 흐뭇하네용 ], 긍정 텍스트 확률 : 65.49%"
"[겨울에 아기를 낳아서 유모차가 필요하지 않아서 미리 사지 않았었는데 요즘 날씨가 좋으니 유모차가 필요해지더라구요ㅠㅠ그래서 이것저것 찾아보니 하이브리드 절충형 유모차를 알게 되었어요일단 제일 먼저 본 건 후기였는데 안좋다는 말 한번 없엇고 가격도 저렴하여 구매를 하였어요 ], 긍정 텍스트 확률 : 98.05%"
"[폴딩의 편안함과 폴딩했을때의 크기], 긍정 텍스트 확률 : 55.32%"
"[그리고 핸들링], 긍정 텍스트 확률 : 70.21%"
"[ 휴대용유모차라고는 믿기않을 정도로 높이가 상당해요다른 휴대용 유모차에비해 높이가 굉장히 높은편이더라구욧.그러다보니 다른 휴대용유모차보다는 무게가 쪼끔 더 나가긴하더라구요.캐노피안전바시트기본구성품 포함 약 .또 핸들링과 안정성은 바퀴가 좌지우지한다죠?하이브리는 뒷바퀴 사이즈가 무려 인치상당히 큰 사이즈이며 바퀴디자인이 넘나 예뻐요], 긍정 텍스트 확률 : 61.11%"
"[ 아래에서 사진은 보여드리죵앞바퀴 또한 무려 인치로 굉장히 안전성이 느껴지는 크기이며], 긍정 텍스트 확률 : 85.96%"
"[일자로 주행할수있도록 고정시킬수가 있더라구요. 또한 가장중요한서스펜션 앞바퀴 뒤바퀴에 독립된 서스펜션으로 충격방지가 되며그리고 주행], 긍정 텍스트 확률 : 85.83%"
"[핸들링 또한 넘나 좋기때문에 누군가 저에게안전하구 핸들링좋은.?휴대용유모차휴대용유모차.?유모차추천유모차추천 해달라고 여쭤보심 .?하이브리드유모차하이브리드유모차 추천할수있겠더라구요.짠 .?하이브리드유모차하이브리드유모차언박싱모습이예요 ], 긍정 텍스트 확률 : 98.86%"
"[ 개봉후 모습인데요], 긍정 텍스트 확률 : 57.33%"
"[뭔가 고정된마음이 드는거있죠ㅋㅋ ], 긍정 텍스트 확률 : 94.33%"
"[.?하이브리드유모차하이브리드유모차.?제트블랙제트블랙 인데요], 긍정 텍스트 확률 : 57.95%"
"[..쌍둥이를 임신하고 육아용품을 사모으면서 정말 둥이는 돈 없이는 못키우겠다는 생각을 천번만번 한것 같다. 작은것에서부터 큰것까지 모두 개씩 사야하고생필품과 분유도 배로 드니까 오빠랑 나랑 조금씩 지출을 줄이고 살아야 한다며 마음의 준비를 하고 있었다. .그런데 실제로둥이 현실육아는 꼭 개씩 필요 없다는거...아기체육관도], 긍정 텍스트 확률 : 77.07%"
"[유모차도 다 개씩인데 사용하는건 하나.. 개월수에 맞게 사용하면서도 왜 개씩 샀을까 늘 후회하는중...특히 가장 후회되는건 바로 유모차 .신생아들은 디럭스 유모차를 타야한다며 머리흔들림방지 흔들림증후군 등 아무것도 모를때는 위험하기 때문에 모두들 키로가 넘는 엄청난 무게의 유모차를 추천하였다. ...만원이 훌쩍 넘는 디럭스 쌍둥이 유모차.. .아기때부터 태우면 유모차에서도 잘자고 잘논다고 해서 일전까지 넓은 친정집 거실에서 맨날 유모차를 끌고 뱅글뱅글 돌며 재우곤 했었다.그렇게 깊게 자지는 않았지만.. 잤다는 거에 큰 의미를 두었음. .근데 .. 백일이 지나 첫 외출부터 현재 개월이 다되어가는데도 유모차에서는 절대절대 안잔다는거.분명 첫 출발은 차 트렁크에서 무거운 본체를 꺼내고 시트 두개를 꽂은다음 땀뻘뻘 흘리며 둥이들을 태우는데.. 돌아가며 한명씩 꼭 아기띠 품에서 자고 있다..단 한번도 유모차에 한시간 이상 함께 앉아있어 본 적이 없는듯. ..물론 우리 둥이들이 별난건 인정하지만.. 쌍둥이라고 해서 그 무거운 시트 두개가 달린 유모차가 필요할까? 의문스럽다...그래서 절충형 유모차를 구매해야겠다고 결심 또 결심.문화센터도 가야하고 병원도 다녀야 하고], 긍정 텍스트 확률 : 53.74%"
"[ .유모차는 단연 블랙이 최고 .심플하면서도 고급스러움이 물씬 풍기는 하이브리드 유모차. ], 긍정 텍스트 확률 : 76.97%"
"[ ..앞바퀴와 뒷바퀴의 크기 차이.진짜 디럭스급 유모차에서만 볼 수 있는 크기이다.. ], 긍정 텍스트 확률 : 81.50%"
"[ ..우리 지헌이 집에서 첫 시승식 .유모차 타면 늘 긴장하던 우리 아들이 타자마자 편한지 막 웃기 시작한다. 귀여워 죽겠네 .살 아이까지 탈 수 있을 정도로 시트내부가 굉장히 넓어 아주 편안해보인다. ], 긍정 텍스트 확률 : 99.40%"
"[ . ..쌍둥이 디럭스유모차는 수납공간은 넓지만 수납방법이 번거로워 사용하는게 어려웠는데.. 하이브리드 유모차는 아래의 넉넉한 수납공간도 마음에 들지만], 긍정 텍스트 확률 : 70.96%"
"[ ..어떤 패션에도 소화가 가능한 블랙유모차 .그 어떤 장점보다 아주 단순한 폴딩이 가장 마음에 들었다. .처음 유모차를 구매하고 설명서 없이 바로 유모차를 폈다면 말 다했을듯 .. ], 긍정 텍스트 확률 : 99.23%"
"[또 무거워서 유모차 휴대를 거부하는 엄마들에게 꼭 추천하고싶다. .....해당업체로부터 할인혜택을 받아 사용 후 작성된 후기입니다..... .?쌍둥이쌍둥이.?쌍둥이맘쌍둥이맘.?둥이맘둥이맘.?둥이템둥이템.?육아공유육아공유.?육아템육아템.?휴대용유모차휴대용유모차.?하이브리드유모차하이브리드유모차.?유모차추천유모차추천.?디럭스유모차디럭스유모차.?절충형유모차절충형유모차.?출산준비물출산준비물. ], 긍정 텍스트 확률 : 99.76%"
"[벌써 우리아기를 위한 유모차 사용한지개월이 지낫다..우리아기에겐 제일좋은것만 주고 싶고 먹이고 싶은게 부모맘 인지라우리아기가 안전하게 탈수있는 윰차를 선택하는것 또한 중요한일 ], 긍정 텍스트 확률 : 96.02%"
"[ 이번포스팅은 하이브리드 장점을 적어보려고한당 ], 긍정 텍스트 확률 : 59.90%"
"[ 앞바퀴가 뒷바퀴보다 상대적으로 작아 더 가볍게 굴러간다운전하기가 너무 편하다 ], 긍정 텍스트 확률 : 67.49%"
"[ 허리가 안좋은 우리아빠도 하이브리드의 드라이빙에 놀람을.. ], 긍정 텍스트 확률 : 76.68%"
"[ 유모차를 거부했던 개월전 우리아기야 빠이이젠 엄마허리를 지켜줄수있는 하이브리드유모차 하이 ], 긍정 텍스트 확률 : 51.49%"
"[ 모든 우량아 베이비맘에게 이 유모차를 추천합니당 본 포스팅은 무상으로 상품을 제공받아 솔직한 후기를 남긴것입니다 ], 긍정 텍스트 확률 : 86.58%"
"[하이브리드 유모차진짜 그동안 정말 많이 돌아다녔어요 ㅎㅎㅎ워낙 밖에 나돌아다니기 좋아하는 가족이기도 하지만], 긍정 텍스트 확률 : 98.88%"
"[하이브리드 유모차와 함께하다보니 간편하게 움직일 수 있는 장점도 있거든요이젠], 긍정 텍스트 확률 : 72.56%"
"[하이브리드 캐비 없으면... 어찌 외출을 할까.. 생각을 할 정도네요 ㅎ매주 장보러 갈때마다 항상 들고 다닌다죠 ㅎㅎㅎ그럼하이브리드 캐비 를두달간 사용해 본지극히 솔직한 후기들어보실래요? ㅎㅎ ], 긍정 텍스트 확률 : 76.58%"
"[저희가족은 양주에 있는 조명박물관에 다녀왔다죠진짜 진짜 예쁜 것이 많았던 곳이랍니다 ㅎㅎ천장에 있는 먹구름이 진짜 같죠? ㅎ천둥소리와 함께 번쩍번쩍하니우리 딸은 신기해서 뚫어져라 ㅋㅋ근데], 긍정 텍스트 확률 : 95.41%"
"[어두운 곳에 보니우리 하이브리드 유모차의 은빛 섀시가 돋보이네요 ㅎ하이브리드 섀시 는 차체 흔들림을 최소화하고까지 안전하게승차할 수 있을 정도로 견고하답니다게다가무게분산 설계 가 되어 있다지요따라서 주행 중 쉽게 흔들리거나 넘어지지 않아요진짜... 다른 휴대용 유모차와 섀시부터 다르다보니만족 안할 수가 없다죠 ㅎㅎ굵고 튼튼한 섀시 덕분에 엄마는 믿고 아이를 태울 수 있답니다우리 아이를 정말 안전하게 지켜줄 것만 같은 느낌수호신 같은 하이브리드 캐비 랍니다 ], 긍정 텍스트 확률 : 99.86%"
"[ 양주 조명박물관에서는 크리스마스 특별전이 열리고 있었어요온 사방이 알록달록 ], 긍정 텍스트 확률 : 65.30%"
"[ 크리스마스 특별전 때문인지사람이 어마어마하게 많았답니다예전에는 사람이 많은 곳에는 유모차를 잘 안가지고 갔어요..사람들 사이를 끌고 다니는 부담감도 있고..이리저리 끌다가 사람들이랑 자주 부딪히다보니..항상 죄송합니다. 죄송합니다. 지나갈게요를 입에 달고 다녔었죠.하지만 하이브리드 유모차를 들인 후로는 아무 걱정 없이 이리저리 끌고 다니죠 ㅎㅎ그 이유는], 긍정 텍스트 확률 : 70.12%"
"[하이브리드 유모차의부드러운 핸들링덕분이랍니다 ㅎㅎ앞바퀴보다 뒷바퀴가 .배 크기 때문에], 긍정 텍스트 확률 : 78.42%"
"[주행안정감이 높아지고], 긍정 텍스트 확률 : 51.21%"
"[승차감도 또한], 긍정 텍스트 확률 : 87.51%"
"[ 바퀴에 설치된 독립 서스펜션 이 노면에서 받는 충격을 흡수], 긍정 텍스트 확률 : 64.79%"
"[ 진짜 휴대용 유모차라고 핸들링은 포기해야한다고 이야기하시는 분들...그러지마세요...이렇게 핸들링 최고인 하이브리드 유모차가 있잖아요모든면에서 완벽한 하이브리드 캐비 랍니다 ], 긍정 텍스트 확률 : 98.20%"
"[ 유모차를 타려고 했는데..엄마가 사진 찍는다고 나오라고 하니..입이 삐죽나온 우리 따님 ㅎㅎㅎ잘 돌아다니다가도 유모차만 보면], 긍정 텍스트 확률 : 57.47%"
"[와서 타려고 하더라구요 ㅎㅎㅎ우리 딸이 이렇듯 하이브리드 유모차를 타려고 하는 이유는?하이브리드 유모차의 특장점인넉넉한 좌석 과편안한 승차감덕분이죠성장 맞춤 와이드 시트 로성장하는 아이의 신체 사이즈와 움직임을 배려한넓은 시트와 넉넉한 공간을 가지고 있답니다.특히], 긍정 텍스트 확률 : 58.23%"
"[ 그래서개월인 우리 딸과 개월인 우리 아들둘 다 넘넘 편하게 누워 잘 수 있을 정도로넉넉한 좌석을 가지고 있답니다], 긍정 텍스트 확률 : 97.60%"
"[차양막 섀시 폭도로 깊기 때문에우리 아들은 차양막을 가지고 놀기도 해요 ㅎㅎ숨었다 까꿍 ㅎㅎ메쉬 통풍창으로 다 보이는데 뭐 ㅎㅎㅎ ], 긍정 텍스트 확률 : 98.02%"
"[ 오빠 나와나 타면 안돼??하이브리드 유모차는폭신함을 더한 쿠션 시트 라 아이들이 누워서 놀기에도잠을 자기에도넘넘 편안하고 푹신푹신 하답니다승차감이 좋을 수 밖에 없죠? 승차감이 좋다자꾸 타고 싶다두 남매가 싸운다 ㅋㅋㅋㅋㅋㅋㅋ근데 이 장면 어디서 많이 본 것 같지 않나요? ㅎㅎ ], 긍정 텍스트 확률 : 92.70%"
"[ 가장 빛을 발하는 순간은에스컬레이터를 만났을 때라지요 ㅎㅎㅎ그 전까지는 한층 내려가려면.. 무조건 엘리베이터를 찾았는데..ㅠ이제는 간편하게 접어서 에스컬레이터로 슝슝 무엇보다 한손 폴딩이 된다는게진짜 최고라죠 ㅎㅎ ], 긍정 텍스트 확률 : 99.90%"
"[ 커피숍에서도 테이블 밑으로 쑉 넣어놓으니 지나가는 사람들에게 걸리적거리지도 않고 ㅋㅋㅋ넘넘 좋아요 ], 긍정 텍스트 확률 : 74.50%"
"[ 장을 잔뜩 보고 기저귀를 몇박스를 사도.....우리 유모차 어디있니ㅋㅋㅋㅋ 저렇게 트렁크에서 자리 차지도 많이 하지 않으니왜 항상 함께 외출하는지느껴지시지 않나요? ㅎㅎㅎ컴팩트하니 항상 함께할 수 있는], 긍정 텍스트 확률 : 99.39%"
"[최고의 휴대용 유모차 하이브리드 캐비 랍니다 ], 긍정 텍스트 확률 : 87.45%"
"[ 우리 아들 뭐하니 ㅎㅎㅎ하이브리드 유모차 앞에서 신남의 춤을 보여주시는 중이예요 ㅎㅎ사실], 긍정 텍스트 확률 : 98.25%"
"[제가 지금껏 말씀드린 장점 외에도 하이브리드 유모차의 장점은 넘넘 많아요단 조절 어깨끈점식 안전벨트안전가드원스텝 브레이크단 풀캐노피 넉넉한 장바구니버클 등받이 조절단 다리받침대발받침대등등다 이야기 하려면...밤새야 할 정도로진짜 장점이 너무 많네요 ㅎㅎ ], 긍정 텍스트 확률 : 91.30%"
"[장점이 더 발견되고 더 많이 느껴지는 듯 해요무엇보다..실 사용자인 아이들이 넘넘 좋아한다는건진짜 우리 아이들에게도 최고의 유모차라는 이야기겠죠? ㅎㅎ안전하고편하고가볍고컴팩트하고예쁘고튼튼하고진짜 모든 매려을 다 가진하이브리드 캐비넘넘 강추합니다★ 하이브리드 캐비 구경하러 가기 ★▼▼▼▼▼▼▼▼▼▼ ...?...? ], 긍정 텍스트 확률 : 100.00%"
"[아가와 주말 내내 집에 있는건 더 힘들더라구요ㅠ그래서 잠시라도 쇼핑몰], 긍정 텍스트 확률 : 50.38%"
"[백화점에라도 가서 아기와 외출을 하곤 했는데 그 떄마다 필수는 휴대용유모차에요이제 아기가 살이라 혼자서도 꽤 오랫동안 잘 걸어다니지만], 긍정 텍스트 확률 : 86.73%"
"[그래도 낮잠을 자주 자기 때문에 유모차가 언제 필요할지 몰라서 항상 유모차는 갖고 다니고 있어요 ], 긍정 텍스트 확률 : 88.78%"
"[요즘 매우 애용하고 있어요계산해보니 번만 방문해도 본전은 뽑을 수 있겠더라구요. 그래서 저랑 남편 모두 연간회원권을 등록했는데벌써 다섯번도 넘게 방문해서 매우 뿌듯해하고 있어요.ㅎㅎ 추운 겨울에는 빌딩도 매우 괜찮더라구요층에 맛있는 빵이 있는 에릭케제르도 있고 아쿠아리움도 있고푸드코트도 잘 되어 있고 면세점도 있고], 긍정 텍스트 확률 : 99.95%"
"[유아휴게실도 잘 되어 있거든요 이 날도 하이브리드유모차와 함께 했는데요], 긍정 텍스트 확률 : 96.35%"
"[바퀴도 작으니 그럴 수 밖에 없다고 생각해서 절충형을 더 오래 사용하는게 어떨까 싶었는데막상 하이브리드유모차를 사용해보니], 긍정 텍스트 확률 : 57.03%"
"[즉 섀시가 견고하더라구요게다가 바퀴 크기 보시면 절충형유모차 못지 않은 바퀴 크기를 확인하실 수 있어요 ], 긍정 텍스트 확률 : 81.38%"
"[안정감과 직결된다 생각해서 휴대용유모차인데 이정도급의 바퀴 크기라면 아기도 편안하게 탑승할 수 있겠다 싶었어요 휴대용유모차는 이제 아기가 조금 큰 상태니까], 긍정 텍스트 확률 : 51.06%"
"[안정성과 편리성을 어느정도 절충한 제품이라고 생각해왔는데이 정도 바퀴크기와 프레임이라면 안전성을 놓쳤다고 볼 수는 없을 것 같아요], 긍정 텍스트 확률 : 63.85%"
"[아기의 승차감도 향상시켜주는 하이브리드유모차], 긍정 텍스트 확률 : 50.03%"
"[저랑 남편은 바게트에 커피 마시고이 날은 아기가 유모차에서 잠드는 바람에 별도로 유모차폴딩을 하지 않았는데하이브리드유모차는 한손 폴딩이 가능해서 폴딩], 긍정 텍스트 확률 : 64.43%"
"[셀프 스탠딩도 가능해서커피샵 통로 등에도 부담없이 보관해둘 수 있어요], 긍정 텍스트 확률 : 90.71%"
"[ 어꺠끈이 달려있는 커버가 있어서 어깨에 매고 간편하게 이동하기에도 편리해요요즘에는 해외여행 갈 때 유모차 가져가시는 분들이 많은데], 긍정 텍스트 확률 : 85.84%"
"[기내용으로도 가능할 것 같구요일단 폴딩했을 때 높이], 긍정 텍스트 확률 : 69.69%"
"[너비 자체가 다른 제품보다 월등히 아담해서 보관이동할 떄에도 자리를 많이 차지하지 않아서 좋아요 ], 긍정 텍스트 확률 : 58.58%"
"[ 휴대용유모차는 엄마가 혼자 외출할 때에도 편리하게 사용할 수 있어야 하는 법저 혼자서도 거뜬히 한손으로 폴딩할 수 있구요], 긍정 텍스트 확률 : 76.51%"
"[ 남편은 너무 편하게 들고 다녀요 ㅋㅋ ], 긍정 텍스트 확률 : 73.35%"
"[ 아쿠아리움 갔을 때에도 ㅎㅎ이 때에는 아기가 물고기 본다고 뛰어다니느라 유모차에는 짐이 한가득 하단 장바구니도 다른 동급 유모차들 비교했을 때 넉넉한 사이즈라서 쇼핑하거나 이렇게 짐이 많을 때 유용해요겨울에는 아기 외투랑 모자], 긍정 텍스트 확률 : 60.33%"
"[ 그리고 저는...유모차는 디자인을 포기할 수 없었는데ㅎㅎㅎ제가 딱 좋아하는 심플하고 멜란지그레이컬러의 고급스러운 원단으로 만들어져서 마음에 쏙 들었답니다사실 휴대용유모차는요], 긍정 텍스트 확률 : 83.00%"
"[그리고 프레임 견고성 등을 확인하게 되는데사용하다보면 등받이 받침 조절 쉬운지], 긍정 텍스트 확률 : 53.15%"
"[조금 캐노피가 짧아보이죠?그러면 저 가운데 부분의 지퍼를 열어주면 된답니다 ], 긍정 텍스트 확률 : 88.00%"
"[ 그럼 이렇게 매쉬창이 뿅아기가 깊이 잠들어서 어둡게 해주어야 할 땐 얇은 블랭킷을 위에 덮어줘요 ], 긍정 텍스트 확률 : 54.86%"
"[ 점식 안전벨트로 안전하게 아기를 태워둘 수 있는데요], 긍정 텍스트 확률 : 56.00%"
"[ 자 안전가드도 있어서 위험한 상황이 발생할 염려가 적은 실내 쇼핑몰에서는 잠시 안전벨트를 풀어주기도 해요. 그러면 아기가 더 편해하면서 핸들을 잘 잡고 즐거워하더라구요마치 자전거 탄 것처럼요 ], 긍정 텍스트 확률 : 96.69%"
"[ 사용해볼수록 더 마음에 드는 휴대용유모차 하이브리드 캐비플러스유모차를 더 사용하기 편리한 제품으로 교체를 고민하시는 분들], 긍정 텍스트 확률 : 80.88%"
"[ 그리고 신생아때부터 세까지 오래 사용할 수 있는 제품을 찾으시는 분들은 꼭 확인해보세요], 긍정 텍스트 확률 : 67.25%"
"[ ..선물 들어온 것 제외하고 모든 물건은 다 물려받은 둘째 ㅎㅎ.유모차만이라도 해줘야지 하던 찰나에 좋은 기회로 구매하게 된.?하이브리드유모차하이브리드유모차. .?휴대용유모차휴대용유모차.?유모차추천유모차추천. .?하이브리드하이브리드.?샤인블랙샤인블랙..... ], 긍정 텍스트 확률 : 69.44%"
"[ ..신생아부터 쓸 수 있다니.그리고 휴대용이지만 디럭스급 드라이빙.가장 큰 이유로 한 손 폴딩.애가 하나일 때는 뭐든 조금 오래 걸려도 괜찮았는데 둘이니 뭐든 빨리빨리..... ], 긍정 텍스트 확률 : 96.59%"
"[ ..접어놓으면 엄청 작다.역시 기내용 짝짝짝..... ], 긍정 텍스트 확률 : 81.13%"
"[ ..흔들린 아이 증후군이 사실 지금 신생아 시기엔 제일 무섭긴 하다.. 유모차에서도 편안하게..... ], 긍정 텍스트 확률 : 90.80%"
"[ ..큼직한 바퀴로 높아진 승차감.노면에서 받는 충격을 흡수], 긍정 텍스트 확률 : 60.31%"
"[완화시켜주니.엄마 손목에 부담도 줄일 수 있다고..... ], 긍정 텍스트 확률 : 67.78%"
"[ 보다시피 앞면은 그림이 그려져있고 뒷면은 아무것도 없이 깔끔하다그리고 아기 머리와 목을 편안하게 감싸줄 수 있도록 일체형 헤드쿠션으로 구성되어있다쌍둥이유모차에 깔아둔 유모차시트는 베게가 엄청 두꺼운 나비모양으로 되어있는데요건 일체형이라서 조금 더 간편하게 사용가능하다 ], 긍정 텍스트 확률 : 68.30%"
"[ 하이브리드 절충형 유모차 오떤가요? 쓰시는 분들 솔직후기 알려주세요], 긍정 텍스트 확률 : 50.02%"
"[ 편리한 운반과 보관까지는 두 말 하면 넘나 잔소리인 휴대용 유모차 하이브리드 유모차 요번에는 우리 아이에게 얼마나 적합하고 편안한 유모차인지를 주절주절 써보려고 해요 ], 긍정 텍스트 확률 : 91.58%"
"[ 개월 전후부터 살까지 쓸 수 있는 하이브리드 유모차라이제 막 개월에 진입한 아기에게는 좀 커보이는 휴대용 유모차 ㅋㅋㅋ실제로도 크기가 전혀 작지 않은 휴대용 유모차랍니다근데도 기동성이나 휴대성이 좋아 제가 좀 놀랐던 건 사실입니다 하하], 긍정 텍스트 확률 : 95.06%"
"[ 부드러운 핸들링 또한 하이브리드 유모차의 장점인데요], 긍정 텍스트 확률 : 83.90%"
"[ 넘나 편해보이는 우래기 ㅋㅋㅋㅋㅋ 할머니도 하이브리드 유모차를 끌어 보더니 핸들링이 아주 좋다고 칭찬하셨더랍니다 ], 긍정 텍스트 확률 : 72.94%"
"[ 유모차에서 가만히 잘 타면서 배시시 웃어줍니다 ㅎㅎ 아직은 아기가 작아 휴대용 유모차가 불안불안했는데요 휴대용 유모차는 안심 드라이빙 시스템으로 어깨끈이 단으로 높이 조절이 가능해서 아이가 빠져 나오지 않도록 앉은 키에 맞게 조절이 돼요가장 낮은 높이로 조여주었지요], 긍정 텍스트 확률 : 80.26%"
"[또한 점식 안전벨트로 방향어깨], 긍정 텍스트 확률 : 50.71%"
"[가랑이에서 아이를 감싸주는 안전벨트로], 긍정 텍스트 확률 : 52.50%"
"[엄마의 불안함을 다소 해결해 주었답니다 ], 긍정 텍스트 확률 : 50.47%"
"[아이를 단단히 고정시킬 수 있어 유모차 탈출시도도 무산되고 안전함 해결ㅎㅎㅎ], 긍정 텍스트 확률 : 86.14%"
"[안전가드는 아직 아기에게서 멀리 있지만 그만큼 승하차를 더 쉽게 해주고], 긍정 텍스트 확률 : 59.82%"
"[ 작게 접히는 데에 반해 핸들 위치가 높아서 핸들링이 아주 좋은 하이브리드 유모차백화점 뿐만 아니라 만약 여행 가더라도 아주 잘 사용할 것 같은 휴대용 유모차에요], 긍정 텍스트 확률 : 81.64%"
"[ 한 쪽 다리를 접은 채 여유롭게 유모차 탑승해 계신 우래기... 얼마나 편안한 지 물어보고 싶은데 말을 아직 하지 못해 아쉽네요 ㅋㅋㅋㅋㅋ 말 하지 않아도 표정만으로도 승차감이 얼마나 좋은 지 알 수 있을 것 같긴해요 ], 긍정 텍스트 확률 : 95.64%"
"[ 와이드 쿠션 시트로 좌석 공간이 굉장히 여유가 있답니다성장하는 아이의 신체 사이즈와 움직임을 배려한 넓은 시트에 넉넉한 공간이 하이브리드 유모차의 또다른 강점이라고 볼 수 있을 것 같아요저희 집 디럭스 유모차는 이렇게까지 시트가 넓진 않거든요 ㅠㅠ], 긍정 텍스트 확률 : 83.37%"
"[등판길이 무려에 다리받침로 아주아주 넉넉하고 넓직한 하이브리드 유모차 시트게다가 바른 자세 쿠션 시트로 탄탄한 내부재에 폭신함이 더해졌어요], 긍정 텍스트 확률 : 76.36%"
"[ 이 날은 ㅇㄴㅋㄹ 세일로 대란이 있던 날ㅋㅋㅋㅋㅋㅋ 우래기도 이 집 옷들을 특히 속옷을 주로 사 입었기 때문에 이번에는 겨울옷 안에 입을 나시를 구매하러 왔습니다 ], 긍정 텍스트 확률 : 84.40%"
"[ 그 와중에 다리 내리고 어느 새 멍때리시는.....ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 사람들이 좀더 북적거리고 많아져서 단 풀캐노피도 내려드리고 복잡한 이 곳을 유유히 빠져나왔답니다드라이빙이 좋아 빠져나오기도 수월한 하이브리드 유모차 ㅋㅋㅋㅋ], 긍정 텍스트 확률 : 78.72%"
"[ 이리저리 왔다갔다 드라이빙에도 전혀 흔들림이나 깨는 것 없이 곤히 잠들었어요 덕분에 나머지 마무리 쇼핑을 한가로이 할 수 있었답니다], 긍정 텍스트 확률 : 62.15%"
"[이제 다시 차 타고 집에 갑시다 ㅎㅎㅎㅎㅎㅎ 쇼핑 나오면 예전과는 다르게 딸래미 것만 잔뜩 사서 가네요 ㅠㅠ이제 번거롭게 디럭스 유모차 대신 접으면 단폴딩 휴대용이 됐다가 펼치면 절충형 드라이빙이 되는 하이브리드 유모차로 아기와 편하고 쉬운 외출해야겠습니다 ...?...?], 긍정 텍스트 확률 : 95.79%"
"[본 리뷰는 해당업체로부터 제품을 무상제공받아 사용 후 솔직하게 작성된후기입니다 ], 긍정 텍스트 확률 : 55.15%"
"[ 양대면 돼서 좋은 시크롤리팝], 긍정 텍스트 확률 : 77.53%"
