"[ 이제는 매트 없는 곳은 위험하네요..요리할때도... 화장실 갈때도...설치 안하려고 했지만결국 베이비룸 설치 결정], 긍정 텍스트 확률 : 65.95%"
"[ 아이원맘 산모교실 참석자 전원에게 주는 임산부 및 산후조리 영양보급용 주스 온리맘입니다. 로 양도 꽤 많은데요. 파우치로 되어있어서 휴대용으로 가지고 다니기 편할거 같아요.], 긍정 텍스트 확률 : 98.08%"
"[컨디셔너입니다. 자연유래성분으로 순하고 부드러워 아기 피부에 쓰기 좋은 제품인거 같아요. ], 긍정 텍스트 확률 : 66.97%"
"[ 산후 출장마사지 업체 에코산모사랑에서 주신 장바구니입니다. 컬러는 핑크와 블루중 선택이 가능했는데요. 저는 블루로 가져왔어요. 조리원에서도 마사지를 받겠지만 집에와서 육아를 시작하면 몸이 안아픈곳이 없다고 다들 그러더라구요. 아이돌보느라 마사지샵으로 직접 갈수도 없고 이럴때는 출장 마사지를 불러서 이용하면 정말 편하고 좋을거 같긴해요. ㅎㅎ 이 밖에 탯줄도장 제작쿠폰], 긍정 텍스트 확률 : 97.41%"
"[페스타 쿠폰도 함께 챙겨주셨어요.종합적으로 평가했을때아이원맘 산모교실은 보험이나 재테크 강의가 없어서 일단 좋았고], 긍정 텍스트 확률 : 78.38%"
"[업체 대표님이 직접나와서 진솔하게 이야기를 해주셔서 편안하게 협찬사 상담도 진행할수 있었어요.그리고 협찬사를 통해 서비스를 이용했는데 상담했을때랑 다르게 진행되거나 컴플레인이 발생하면 곧바로 카페에 올려달라고 하시더라구요. 컨설팅회사다 보니 무엇보다 고객의 요구와 만족에 신경을 많이 쓰시나봐요. 레크레이션 시간이 길어서 저는 좋았구요. 그동안 폐렴으로 아파서 제대로 웃어보지도 못했는데 산모교실와서 정말 빵터지며 신나게 웃어본거 같아요.아쉬운점이라면 산모교실은 시 시작이지만 대부분 선착순 선물 때문에 일찍 오시는거 같더라구요. 집에서 페스타까지 가려면 시간이 좀 이르다보니 집에서 점심을 제대로 못 먹고 나오게 되더라구요. 그래서 그런지 강의 중간에 자꾸만 배가 꼬르륵 거려서 혼났어요. 임산부는 당충전이 되어야 움직일수 있잖아요. 타 산모교실은 테이블마다 다과를 준비해주거나], 긍정 텍스트 확률 : 96.26%"
"[과자를 게임도중 먹을수 있게 던져주기도 하는데 이런점이 보완되었으면 좋겠습니다], 긍정 텍스트 확률 : 61.75%"
"[ ☆☆ 아이원맘 산모교실 신청하는 방법 ☆☆. 아이원맘 네이버 카페 가입. 지역별 산모교실 일정 확인하기 . 아이원맘 산모교실 신청하기 배너 클릭하기 .... ], 긍정 텍스트 확률 : 98.60%"
"[저희 두찌 유모차에 유모차모빌 장착했어요ㅎㅎ이스라엘 오감발달 감성 토이인 밴밧 플레이아치 모빌이에요. ], 긍정 텍스트 확률 : 96.32%"
"[ 우리 두찌가 좋아할까?아직 개월이지만 자기가 좋아하는 장난감에대한 고집이 있더라구요. ], 긍정 텍스트 확률 : 80.55%"
"[ 지금 생각해보니 개월 정도부터 침대에 있는 모빌에 관심을 보였던것 같아요.그래서 그 시기쯤 유모차에서도 얌전히 앉아 있지 않고 세상구경도 하고 유모차도 열심히 만지고 입에 물고 그랬던 것 같아요 ㅎㅎ ], 긍정 텍스트 확률 : 97.30%"
"[이때 치발기는 필수 ㅠㅠ애드벌룬 장난감 끝에 치발기가 달려 있는데], 긍정 텍스트 확률 : 78.81%"
"[우리 두찌의 가장 애정템이에요ㅎㅎ치발기 가운데 둥글게 구멍이 뚫려있어서 아이가 손으로 잡아 당기면서 소대근육발달에도 도움이되면서침이 흥건하게 물고빨고 구강 발달까지 시켜주는 모빌 장난감ㅋㅋ진짜 .. 장난아닙니다요ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 99.86%"
"[ 잠들기 전까지 손에 꼭쥐고 자는 애착까지 ㅠ.ㅠ손에 무언가를 쥐고 있는게 안정감이 생기나봐요 ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 96.05%"
"[ 그래서 아이가 졸려해서 유모차 시트를 눕혔을때도아이의 손이 닿는 반경으로 설치해주면 원하는 장난감을 잡아 당겨도 안전하게 가지고 놀 수 있어요], 긍정 텍스트 확률 : 78.58%"
"[흥미가 있는 장난감이 눈앞에 있으니평소보다 유모차에 탑승했을때 칭얼거림도 적으니 엄마인 저도 외출할때 즐겁네용해당제품을 지원받아 작성한 후기입니다], 긍정 텍스트 확률 : 98.31%"
"[ 카시트커부하는 아기가 좋아하는 차량용 보조 룸미러밴밧올리 덕분에 알게 된 브랜드.?밴밧밴밧이스라엘에서 온 밴밧은 아이 스스로 만지고 느끼면서고정된 틀에서 벗어나 성장형 사고방식을 키울 수 있도록도와주는 오감발달 감성 토이 브랜드 인데요유모차가 아직 낯선 개월아기 예찬이가 좋아할만한유모차모빌을 알아보다가], 긍정 텍스트 확률 : 73.91%"
"[보이시죠? 개월 신생아부터볼수 있게 양면사용이 가능한.?유모차모빌대유모차모빌대 랍니다.흑백컬러 가지로 양면 사용이 가능하니 넘나 좋고요신생아때부터 사용하는거 완전 추천해요 ㅋㅋ ], 긍정 텍스트 확률 : 86.74%"
"[ 뒷면에 보면 설명서와 함께 스테이지 ..가 나와 있답니다 조금 더 일찍 준비해줄껄 그랬네? 흑흑스테이지 개월개월아기는 아직 흑백으로만 세상을 볼 수 있어요.컬러보다는 흑백모빌 연습 시켜 줍니다.스테이지 개월개월시야가 트이기 시작한 아기는 궁금한 것이 많아요.이때 다양한 색상을 보여주고 소리로 청각을 자극해주면 감각 발달에 도움이 되고요스테이지 개월 이상움직임이 활발해지는 시기의 아기에게 반짝이는플레이아치로 즐겁게 놀아줍니다. ], 긍정 텍스트 확률 : 94.52%"
"[ 유모차 모빌로도 사용이 가능하지만 카시트나바운서에 장착해도 너무 좋을 것 같더라고요튼튼하게 포장되어 있는 밴밧 플레이아치 한번개봉해 봅니다 ], 긍정 텍스트 확률 : 80.01%"
"[ 우래기 엄마가 포장 뜯으려고 하니 시선이 오로지나에게 ㅋㅋㅋㅋ 컬러풀한 디자인이라 아기 시선끌기 매우 좋구요], 긍정 텍스트 확률 : 92.89%"
"[ 유모차에 장착하기 전에 친해지라고 예찬이에게 줘 봅니다 요즘 엎어서 노는것도 거뜬한 개월 아기이구요앉아서도 가지고 놀아요 하핫 ], 긍정 텍스트 확률 : 51.17%"
"[ 플레이아치는 사이즈에 맞춰 조절할 수 있는집게형으로 되어있어 유모차는 물론 바운서], 긍정 텍스트 확률 : 72.81%"
"[ 카시트아기침대 등 다양한 육아템에 결합시켜 사용이 가능하답니다.까지 벌어지더라고요? ㅋㅋㅋ집게 위쪽 부분을 돌리면 늘어나고 줄이고 할 수 있기때문에두꺼운 유모차 프레임에도 끄떡없겠고요 ㅋㅋㅋ우리집 유모차는 예떼 제로니모 인디요. 잘 맞아요아래 유모차에 직접 장착한 거 보여드릴께요 ], 긍정 텍스트 확률 : 73.65%"
"[ 에어벌룬 아래쪽에는 치발기가 달려있어 아이의구강발달에 도움을 주구요이렇게 아기가 손으로 잡을 수 있게 되어 있어서소근육], 긍정 텍스트 확률 : 74.13%"
"[ 영아기의 거울은 아이들에게 좋은 친구가 되는데요], 긍정 텍스트 확률 : 59.86%"
"[거울 속 형상이 본인이라는것을깨닫고 천천히 자신의 얼굴에 익숙해지고 이는자아개념을 형성하는데 도움이 된답니다], 긍정 텍스트 확률 : 55.17%"
"[이 백색소음은 아이에게 안정감을 느끼게 하고아기의 청각을 자극시켜 청각발달에 도움을 준답니다. ], 긍정 텍스트 확률 : 62.95%"
"[ 집에 있는 본베베 범보의자에도 이렇게 장착이가능해요의자에 앉혀 놓고 놀게 해줄 수 있어서좋아요 .?밴밧아유모차모빌플레이아치밴밧아유모차모빌플레이아치 위에 모빌들은 분리가 되기 때문에 소독 및 세척도 용이하고 가방에 간편하게넣어 외출도 가능하답니다 벌룬은 딸랑 소리가 맑고 좋아서 가지고 다닐까봐요 ㅋㅋ ], 긍정 텍스트 확률 : 74.65%"
"[ 요롷게 관절이 유연한 밴밧 유모차모빌대 사실 집에 유모차모빌대가 한개 더 있는데 그건이렇게 유연하지도 않고], 긍정 텍스트 확률 : 84.95%"
"[날 또 유모차에 내려둘 생각인가요?하고 쬐려보는 내새꿍 ㅋㅋㅋ ], 긍정 텍스트 확률 : 89.50%"
"[ 짧디 짧은 손으로 햇님을 잡으려는 예찬이 ㅋㅋ안전벨트 때문에 팔이 뻗어지지 않아 슬픈 예찬이ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 95.15%"
"[ 고사리같은 쪼꼬미한 손으로 만져보겠다고아주 ㅋㅋㅋ 귀염뽀짝이예요], 긍정 텍스트 확률 : 87.62%"
"[ 위에서 보면 이런 모습 ㅋㅋㅋㅋ 뭘 가지고 놀지?ㅋㅋㅋ 다 내꼬ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 63.72%"
"[ 하나하나 다 만져보고 노는 우리 아가 추가로 다른 모빌을 걸어줄 수도 있어요 ㅋㅋㅋ집에 있는거 더 걸어 줄까봐요], 긍정 텍스트 확률 : 96.01%"
"[충분해 보이기도 하지만 ㅋㅋ ], 긍정 텍스트 확률 : 92.21%"
"[유모차모빌이 있으면 잠깐 엄마], 긍정 텍스트 확률 : 80.11%"
"[ 앨짱의 잘먹고 잘댕기는 일상본 포스팅은 업체로부터 제품만을 제공받아작성된 솔직 후기 입니다. ], 긍정 텍스트 확률 : 58.60%"
"[여러분 안녕하세요햇님입니당 ㅁ아따 오랜만에 나들이 가려는데비가 억수로 쏟아지더라구요며칠 전 입니당하지만 아랑 곳 하지않고꿋꿋하게 향한 그 곳얼마 전에 오픈했죠부천스타필드시티에 다녀왔습니다 빠밤 ], 긍정 텍스트 확률 : 97.81%"
"[ 저두여..?흠흠 고러탐 퐐로퐐로미 하시져 ], 긍정 텍스트 확률 : 79.50%"
"[ 응..? 지금 신데..? ], 긍정 텍스트 확률 : 73.30%"
"[ 하지만 저는 이 집안의 막내에요.차를 운전할 수도 없쬬.분노가 차올라도 어쩔수없죠.분노따위 빠르게 체념하고시간안에 빠르게 스캔해보리라마음 먹어봅니다. ], 긍정 텍스트 확률 : 98.41%"
"[ 똑독한 배려우왕 문구 잘 짰당이런거에서 감동 잘먹음층에 댕댕이들이 뛰놀수 있는정원 같은곳도 있대서 두근두근리드줄만 있으면 조심조심쇼핑몰 내부를 누벼도 되고], 긍정 텍스트 확률 : 78.55%"
"[ 가게마다 반려동물 출입가능불가능표시가 따로 되어있다고 합니다근데 저는 이 부분은 자세히 못 봤어요 ], 긍정 텍스트 확률 : 73.15%"
"[ 드디어 내부 입장쩌ㅇㅁㅇ억 어짜피 너어어어무 커서하루만에 다 둘러보기는 불가능이었겠네유이때가 스타필드 오픈한지도 얼마 되지 않았고명절 즈음이라 사람이 정말 많았어요사슴이는 까만친구라 특히 눈에 잘띄지 않아서 혹시 사고가 날까봐계속 안고다니기로 합의이마트 트레이더스는몽몽친구들은 입장불가라 하니참고하세요 ], 긍정 텍스트 확률 : 96.83%"
"[ 천장도 요로코롬 예뻐요제가 하남스타필드를 안가봐서스타필드는 처음 와봤는데 아따 좋더만유 ㅇㅁㅇ요즘은 역시 식사], 긍정 텍스트 확률 : 94.25%"
"[ 영화 등 모든 걸 한 공간에서 해결하는게 제일 좋죠ㅁ주차하기도 편하구요그런점에 있어서 정말 잘 생겼당 ], 긍정 텍스트 확률 : 70.84%"
"[ 반려동물 러브러브가그득 느껴지는 쇼핑몰인 만큼관련 상점도 눈에 띄게 많았는데요첫째언니의 목표는 바로 이곳 몰리스펫샵 입니다 ], 긍정 텍스트 확률 : 95.98%"
"[ 요로코롬 반려동물 옷이랑 반려동물용 유모차 장난감 등등을 파는 곳입니다], 긍정 텍스트 확률 : 61.15%"
"[ 층에 있는 스타벅스인데되게 뭐라고 해야하지 ㅇㅁㅇ크고 조명두 이쁘고 벽지도 그렇고일단 벽에 저 왕만한 그림..아무튼 본새났씀다멋있었어요..이상한 부분에서 감동..외국 여행다닐때 나라마다 각기 다른 스타벅스 인테리어], 긍정 텍스트 확률 : 99.67%"
"[보는 재미도 은근 쏠쏠했는데 국내도 점점 더 멋있어지는 것 같슴니당], 긍정 텍스트 확률 : 68.31%"
"[ 부천 스타필드 후기로 가장 많이 본 사진인데 옷가게 앞에 있는 포토존이었군요뭔가 뒤쳐지고싶지 않은 마음에?찰칵쓰 ], 긍정 텍스트 확률 : 83.11%"
"[ 우왕 대형 아이언맨우왕 우왕 우왕옆에 머리통도 있어요우왕 그 옆에 캡마 방패 우왕 ], 긍정 텍스트 확률 : 50.74%"
"[ 세상에서 제일 예쁜 트레이쉬해리포터 마법사 지팡이ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ우 ㅠㅠㅠㅠㅠㅠㅠㅠ 아저는 제 예쁜스레기덜 나중에방 하나에 모아놓고 전시해놓은담에난중에 아기 낳으면 같이 갖고놀고싶어여 ㅁ근데 내꺼 부수면 나도 뽀로로 부술거임.. ], 긍정 텍스트 확률 : 99.85%"
"[ 가슴설레는 저 세글자디], 긍정 텍스트 확률 : 95.14%"
"[ 그래도 요런데서 파니까진퉁이겠져..?뭔가 좀 다른것 같기도한데], 긍정 텍스트 확률 : 71.92%"
"[ 이 외에도 엄청 다양하게눈 돌아가는 물건들이 많이 있어요반가운 미미 인형도 있고 로봇도 있고아이들나에게 천국이니까가족들과 함께 꼭 놀러가보세요 ], 긍정 텍스트 확률 : 94.43%"
"[ 그리고.....오늘도 어김없이......나의 눈길을 사로잡은........... ], 긍정 텍스트 확률 : 84.78%"
"[ 진짜 마주칠때마다 고민한 저노무 가차뽑기..최대 선택의 기로...하....저 진짜 지금...하얀물의 삶을 살고있기에 정말 가난하거든요 그런데...그런데.. ], 긍정 텍스트 확률 : 99.61%"
"[ 분째 노려보는 중첫째언니동생아.. 그렇게 갖고싶으면 사줄게... ], 긍정 텍스트 확률 : 61.68%"
"[ ....는 잔액부족으로결국 언니가 선결제해주심★힝..눈물의 충동 가차구입.. ], 긍정 텍스트 확률 : 68.11%"
"[ 원결론은 리터의 눈물.. ], 긍정 텍스트 확률 : 71.96%"
"[ 마지막으로사슴이랑 버즈랑 인사하구후다닥 집으로 향합니다], 긍정 텍스트 확률 : 68.69%"
"[ 집에 가기 전 잠시 들린 안스베이커리저는 슴뚱이 안고 기다려서언니들이 뭐 뭐 사왔는지..몰라요 오늘도 바보를 맡았씁니다..일단 집에가서 먹은 빵을 기억하기론검정색 먹물빵 같은 빵에 소세지가가운데 크게 박혀 있었는데 그것이 죽이게 맛있었고엄청 유명하다는 쪼매난 머핀같이 생긴빵이 있었는데 술빵 맛나서 저는.. 정말 별로였어요 여윽시 비싸고 유명한게다가 아니어요 ㅇㅁㅇ 참고하세여 ], 긍정 텍스트 확률 : 59.56%"
"[ 강아지를 데리고 오는 분들도 많았고또 애완동물 출입 가능한 곳이라 그런지대체적으로 사슴이를 마주친모든 분들께서 되게 호의적이고친절하셨어요], 긍정 텍스트 확률 : 83.45%"
"[ 힙스터 사슴친구 사진을 마지막으로집으로 고고합니다 ], 긍정 텍스트 확률 : 75.09%"
"[ 이 숭고한 의식을 표방해보았습니다.네. 때가 왔기 때문입니다.비장 ], 긍정 텍스트 확률 : 86.10%"
"[ 이때 정말 눈 감고 찍은거라면믿으시겠습니까이럴때 되게 진지 ], 긍정 텍스트 확률 : 77.25%"
"[ 깜 하이룽 찍헐.나는 이걸 왜 하는지 몰랐는데..한때 언니가 왜 와장창모으는지 이해를 못했는데..지금에서야 매력을 느끼다뇨하필 인생 최절정기로 가난한 지금..?늦바람...? ], 긍정 텍스트 확률 : 92.86%"
"[ 쨔 쟌헐 ㅇㅁㅇ 정리하길 잘했오요망구 크롱이한테도 엄청칭찬 받았습니다 친구덜을 위한작은 카페테리아 완성 ], 긍정 텍스트 확률 : 71.58%"
"[ 헤헤 치미랑 타타 친구들은위에 콤보때위에 달려있던 피규어들 똑똑 떼서옆에 놔주었습니다 ㅁ 똑띠했쥬타타는 가분수이므로..직립할 수 없어서 특수의자를 주었습니다식탁부터 의자 선풍기모두 첫째언니 제공.. ], 긍정 텍스트 확률 : 65.15%"
"[ 와.. 정말 피규어세상이란..뚜껑도 열리고.. 디테일하고..진짜같고..귀엽고..앙증맞고.. ], 긍정 텍스트 확률 : 86.05%"
"[ 마카롱 너무 귀엽져 올망졸망이들 ], 긍정 텍스트 확률 : 91.39%"
"[ 커피머신부터 그라인더까지언니가 화분은 꼭 있어야 한대서.. 일단.. 네..후우.. 앞으로 또 엄청모을일만 남은 것 같은이 느낌적인 느낌..기대..해 주세요..ㅠㅠ..한숨 ], 긍정 텍스트 확률 : 85.85%"
"[ 인기상품은 조기 품절되니 유의하시구요.역대가특가 할인 찾아 보았습니다 해당 특가정보는 년 월 일 화요일 오후 시 분 기준입니다. 상품 구매리뷰후기는 아래 링크로 들어가세요 ▼▼▼.. ], 긍정 텍스트 확률 : 61.82%"
"[ 설렘 주의 크리스마스 선물 추천 ], 긍정 텍스트 확률 : 79.58%"
"[남녀노소할 것 없이 크리스마스에는 설레고 들뜨는 마음을 감출 수 없죠. 더 기분 좋은 하루를 선사할 특별한 크리스마스 선물을 추천합니다 ], 긍정 텍스트 확률 : 85.80%"
"[우리 가족 건강 지킴이광동 의감녹용 ], 긍정 텍스트 확률 : 76.85%"
"[아이와 엄마의 건강을 생각한뉴트리맘 영양바 ], 긍정 텍스트 확률 : 76.96%"
"[년부터 년 이상 엄마와 아기의 영양을 연구해온 뉴트리시아. 최근 수유 중인 산모를 위한 영양 보조 간식인 뉴트리맘 영양바’를 국내에서 새롭게 출시했다. 식사로 채우기 어려운 영양소를 간편하게 보충할 수 있으며 특히 칼슘 흡수에 필요한 비타민 의 일 권장량을 함유해 큰 인기를 끌고 있다. 둘째를 출산한 방송인 김나영도 건강관리를 위해 챙겨 먹을 정도. 올해월 중순에는 닷컴에서 구매 혜택 이벤트가 진행되며 내년에는 임신부가 먹을 수 있는 영양바도 선보일 예정이다.문의뉴트리시아], 긍정 텍스트 확률 : 92.38%"
"[’ 친구의 출산 축하 선물을 고민하다가 수유를 하려면 영양 보충이 중요하겠다는 생각에 뉴트리맘 영양바를 골랐어요. 맛도 좋고 떨어진 기력도 보강할 수 있어 만족했다고 친구한테 연락을 받아 참 뿌듯했어요.], 긍정 텍스트 확률 : 94.93%"
"[’ 디즈니썸썸 스티커와 보드마카로 아이가 직접 놀이집을 꾸밀 수 있어 좋아해요. 집 모양도 정교해 가게놀이 등을 더욱 실감 나게 할 수 있어 시간 가는 줄 몰라요.], 긍정 텍스트 확률 : 95.08%"
"[상상력과 창의력을 높이는 장난감메가블럭 우리아기 첫블럭 빅빌딩백 ], 긍정 텍스트 확률 : 78.93%"
"[피셔프라이스의 자매 브랜드인 메가블럭은 북미 . 베이비블럭으로 손꼽힌다. 블럭놀이를 이제 막 시작한 아이를 위한 메가블럭 우리아기 첫블럭 빅빌딩백’은 안전을 고려해 면과 모서리는 둥글게 디자인하고 삼킬 수 없게 대형 크기로 만들었다. 블록 한 칸이 미만으로 제작되어 손힘이 약한 아이들도 손쉽게 조립하고 해체할 수 있으며 놀이를 반복할수록 눈과 손의 협응력뿐 아니라 상상력], 긍정 텍스트 확률 : 53.64%"
"[메가블럭 우리아기 첫블럭 빅빌딩백가지의 피스로 구성된 블록세트. 상상한 이미지를 다양한 모양의 블록으로 만드는 재미가 크다. 친환경 소재의 휴대용 가방이 함께 제공되어 보관이 용이하고 외출 시에도 휴대가 간편하다. 블루와 핑크 가지 색상이 있다. ], 긍정 텍스트 확률 : 85.06%"
"[’ 아이가 블록 쌓기에 푹 빠졌어요. 어른들도 함께 할 수 있어서 온 가족이 시간 날 때마다 이용해요. 아이들의 상상력을 무한대로 키워줄 수 있어 유용한 것 같아요.], 긍정 텍스트 확률 : 96.30%"
"[중 피부 보습 및 수분 손실 완화 효과가 있어 민감한 아기 피부를 순하게 보호해준다. ], 긍정 텍스트 확률 : 68.73%"
"[’ 물티슈로 아기의 엉덩이를 닦으면 피부가 빨개지고 건조해져서 속상했는데 범범크림을 바른 뒤부터 확실히 덜 건조하고 덜 빨게 지더라고요. 자극적이지 않아 꾸준히 발라주니 긁는 횟수도 많이 줄어서 만족해요.], 긍정 텍스트 확률 : 64.93%"
"[아이가 건강하게 자라길 바라는 마음으로 연구에 매진하는 깨끗한나라의 보솜이 리얼코튼’은 예민한 피부를 보송하게관 리해주는 기능이 탁월한 기저귀다. 흡수성·보온성·안전성이 뛰어난미국산 코튼을 함유한 안커버가 자극을 줄이고 트러블을 방지한다. 안심흡수 통로와 더블업 다리 밴드가 넘치거나 새지 않도록 빠르게 소변을 잡아줘 걷거나 기어 다니는 아이들에게 제격이다.문의깨끗한나라], 긍정 텍스트 확률 : 92.52%"
"[ 보솜이 리얼코튼도 에어커버를 적용해 안쪽에 갇힌 습기를 배출하고 공기가 원활하게 통하는 제품.순간흡수], 긍정 텍스트 확률 : 64.80%"
"[보송보송 역류케어의 단계 시스템을 갖춰 아이 엉덩이를 쾌적하게 만드는 효과가 뛰어나다. ], 긍정 텍스트 확률 : 60.91%"
"[놀이와 학습을 동시에브이텍 단계 스마트 러닝 붕붕카 ], 긍정 텍스트 확률 : 56.17%"
"[동물 등을 재미있게 익힐 수 있다.문의키보스], 긍정 텍스트 확률 : 96.99%"
"[’ 아이의 첫 번째 승용 완구로 선택했어요. 단순히 놀이만 하는 것이 아니라 숫자나 알파벳을 배우면서 놀 수 있어 일석이조예요. 돌 되기 전에 샀는데 세 살 때까지 사용할 수 있을 것 같아요.], 긍정 텍스트 확률 : 90.40%"
"[스타일리시함과 안전성을 모두 갖춘 유모차 브랜드로 유명한 잉글레시나. 새롭게 선보인 잉글레시나 앱티카 프리미엄 디럭스 유모차’는 소프트 서스펜션을 적용한 의 대형 하이엔드 휠로 충격을 흡수해 아이의 뇌 흔들림을 방지한다. 또한 멜란지 패브릭과 가지 컬러 프레임의 조화를 통해 고급스러운 스타일 연출을 가능케 한다. 색상은 아이스버그], 긍정 텍스트 확률 : 87.25%"
"[ 잉글레시나 앱티카 프리미엄 디럭스 유모차혼자 유모차를 몰고 나가도 시트를 분리하거나 방향을 바꿀 필요 없이 한 번에 접을 수 있어 편리하다. 에코 레더로 된 핸들바는 단계로 조절이 가능해 사용자의 키에 맞춰 편안하게 주행할 수 있다. ], 긍정 텍스트 확률 : 51.71%"
"[’ 앞바퀴에 자동 정렬 시스템을 탑재해 한 손으로도 부드럽고 쉽게 주행할 수 있어요. 서스펜션까지 적용해 충격을 흡수해주니 도로 상태가 좋지 않은 울퉁불퉁한 길에서도 아이가 편안하게 잠들 수 있어 좋아요.], 긍정 텍스트 확률 : 98.30%"
"[바른 먹거리의 첫 시작풀무원 베이비밀 이유식 ], 긍정 텍스트 확률 : 76.20%"
"[유기농 곡류 등 안전하고 바른 재료만을 사용해 믿고 먹일 수 있다. 업계 최초로 인증뿐 아니라 무균 클린룸 제조와 신선한 냉장 온도 유지 시스템을 갖춰 아이에게 항상 좋은 것만 주고 싶은 부모에게 해답을 제공한다.문의풀무원 베이비밀], 긍정 텍스트 확률 : 71.88%"
"[세트 스타일리스트], 긍정 텍스트 확률 : 62.26%"
"[ 오늘의 일기 ], 긍정 텍스트 확률 : 73.09%"
"[있으면 만원 가량입니다. 베이비시터 이모님이 몸이 피곤해서 자주 맞는다고 하는거 말만 들었습니다. 맞고 나니 정말 몸이 가뿐해지더군요. 오래 가진 않지만 가끔 버프용으로 괜찮을 것 같습니다. 우리 회사에도 병원이 있는데 자주 이용해야 겠어요. 여름철 감기 예방법도 적으면서 다시 한번 숙지해야겠어요 여름감기 예방수칙 가지 ], 긍정 텍스트 확률 : 86.29%"
"[에어컨은 밀폐된 공간에서 사용하기 때문에 특히 환기에 유의해야 하고 틈틈이 바깥 공기를 쐰다. ], 긍정 텍스트 확률 : 62.14%"
"[우리 딸 유니가 만개월이 되었습니다 성장발달도 순조로워서 앉기도 잘하고], 긍정 텍스트 확률 : 82.33%"
"[기기도 잘합니다. 특히 휴대폰만 보면 빛의 속도로 기어갑니다. 해병대 포복자세로 갑니다 이럴 때에도 아 동기부여가 이렇게 중요하구나 싶습니다. 더 넓은 공간에서 움직이게 해 줄려고 플레이룸을 마련했습니다. 기존의 매트와 동일한 매트를 하나 더 구매했습니다. 그리고], 긍정 텍스트 확률 : 62.18%"
"[세바시에서 강의를 한번 들은 적이 있습니다. 괴로우면 글을 쓰라는 제목이었는데], 긍정 텍스트 확률 : 66.55%"
"[지금의 제 상황과 비슷합니다. 속마음은 나중에 적을 때가 있겠죠. 그 글 중에 다동력이라는 책 후기가 있어서 보았습니다. 다동력은 여러 가지 일을 하는 능력입니다. 제목이 흥미로워서 으로 다운로드 해서 봤습니다. 여러 가지 일을 잘하려면 한가지에 극단적으로 빠져 들어라 는 간단한 메시지 였습니다. 작가는 여러 가지를 할 시간을 본인이 좋아하는 것만으로 채웁니다. 그래야 미친 듯이 할 수 있습니다. 여기서 한마디 합니다 아무도 당신에게 관심이 없다. 그러니 주변에 개의치 말고 하고 싶은 것이 있으면 맘껏 하라고 말입니다. 여러 개의을 가지는 것도 전략일 수 있습니다.직함 개를 가지면 여러분의 가치는 만배가 된다 한가지 일만 꾸준히 하는 시대는 지나갔다 여러 가지 면에서 공감을 느끼면서 페북에도 추천으로 올렸습니다. 술술 넘겨서 일기에 좋은 책입니다. 저는 집중력이 좋은 타입입니다. 성실함을 기본으로 합니다. 재미없는 것도 보통 끝까지 하려고 합니다. 처음부터 스스로 한 것만 인정하려고 합니다. 그러다 보니 늦습니다. 지금 하는 일이 금전으로 연결되거나], 긍정 텍스트 확률 : 91.29%"
"[회사 업무일 때만 동기부여가 되는 경우가 많습니다. 혼자 있으면 특별히 재미를 찾지 못하고요. 작가 호리에 다카후미는 다이나믹하고 파란만장한 인생을 사는 사람 중 하나 입니다. 이런 사람들은 어떤 생각을 가지고 있나 궁금했습니다. 이 책을 읽고 조금 이해가 됩니다. . 다동력이란 여러 가지 일을 동시에 진행해 나가는 힘을 의미합니다. 일본에서는 오랫동안 한가지 일을 꾸준히 하는 것을 미덕으로 여겨왔습니다. ... 한 가지 직함], 긍정 텍스트 확률 : 80.29%"
"[좋아하는 것], 긍정 텍스트 확률 : 75.41%"
"[빠져들 수 있는 것에 순수하게 몰두해 보시기 바랍니다. 그것이 금전적인 이익으로 연결되느냐 아니냐는 중요하지 않습니다. ... ... 몰두하다 보면 전혀 관계가 없다고 생각했던 것들이 곱셈 효과를 일으켜 완전히 새로운 아이디어나 발상으로 연결될 것입니다. 때로는 변화가 필요한 법입니다. 다동력은 저에게 제 가치관을 다시 한번 체크해 보게 하는 책이 되었습니다. 이런 기회는 우연히 오네요 엄마의 존재 ], 긍정 텍스트 확률 : 71.86%"
"[유니가 낮잠을 자다가 한번 씩 짧게 자고 깨는 경우가 있습니다. 가끔 제가 달래주지도 않고 그냥 옆에서 잡니다. 유니는 깨서 잠시 놀다가 뒹굴뒹굴 굴러서 제 옆으로 와서 꼭 붙어서 다시 잡니다. 엄마라는 존재를 아는 걸까요기분이 이상하네요 유모차 외출 ], 긍정 텍스트 확률 : 86.17%"
"[변비도 생겼습니다. 너무 잘 먹는다고 과신했던 것 같아요 이 때부터 이유식은 하루에 번으로 줄이고], 긍정 텍스트 확률 : 86.96%"
