"[.펍지주식회사가 전 세계 배틀그라운드 팬들의 뜨거운 관심과 성원 속에 주간 펼쳐진펍지 글로벌 챔피언십 ], 긍정 텍스트 확률 : 92.96%"
"[ 되더라고요. 아저씨인 저도 되니 회원님 께서도 무리. ], 긍정 텍스트 확률 : 58.62%"
"[ 만약계열 이시라면 유튜브 나 카페 내에 에도 적용. ], 긍정 텍스트 확률 : 58.34%"
"[ 정지 어쩌고 하는 분들의 말은 그냥 무시 하셔도 됩니다.. ], 긍정 텍스트 확률 : 60.31%"
"[ 키배치 변경후 적응중 입니다. ㅠ.ㅠ ], 긍정 텍스트 확률 : 91.36%"
"[ 일차 ㅠ.ㅠ구상전 중 상대방분의 멋진 플레이 ], 긍정 텍스트 확률 : 92.34%"
"[ 브랜드명애니포트], 긍정 텍스트 확률 : 55.05%"
"[ 돋움.. ........ ......? 본문 이미지], 긍정 텍스트 확률 : 53.82%"
"[각 방송사가 하나의 리그를 담당함으로써 보다 정돈된 스토리텔링과 완결성 있는 리그 콘텐츠를 제작할 수 있게 됐다.한편 펍지주식회사는 프로팀 지원 정책의 하나로 인게임 아이템을 통한 팀과의 수익 분배를 비롯해 팀의 자생력을 높일 수 있는 프로팀 지원금 등 다양한 방안을 지속적으로 추진하고 있다. 또한 팀과 선수간 표준 계약서 도입 등 선수 권익 보호에도 앞장설 계획이다.또한시즌부터는 가 새롭게 적용된다. 리그 브랜딩을 새롭게 정의하고 펍지 이스포츠 리그만의 역동성이 강조되도록 디자인을 변경했다.펍지주식회사 김창한 대표는 “펍지 글로벌 이스포츠 출범과 함께 더욱 풍성하고 알찬로 돌아오게 되어 매우 기쁘다”며 “팬과 선수들의 성원으로 보다 뜨거워질가 펍지 이스포츠 발전과 프로팀 육성은 물론 배틀그라운드 팬들의 보는 재미를 한 층 더할 것으로 기대된다”고 말했다.펍지주식회사 개요 펍지주식회사는 크래프톤], 긍정 텍스트 확률 : 99.93%"
"[년 펍지주식회사로 사명을 변경하고 플레이어언노운스 배틀그라운드를 개발해 현재 ], 긍정 텍스트 확률 : 58.78%"
"[모바일 플랫폼으로 게임 서비스를 제공하고 있다. 배틀그라운드는 출시 이후 가장 빠르게 억달러 수익을 올린 스팀 얼리액세스 게임’을 비롯한 기네스북 개 세계 기록에 등재됐으며], 긍정 텍스트 확률 : 68.18%"
"[중국 등 전 세계 개 지사를 설립해 운영 중이며 배틀그라운드를 글로벌 인기 지식재산권으로 확장한다는 목표 아래 이스포츠를 포함한 다양한 신규 사업을 추진하고 있다. 펍지주식회사에 대한 더 자세한 정보는 홈페이지에서 확인할 수 있다.보도자료 원문 보기 ....?....?출처펍지홈페이지....이 보도자료는 출처에 표시된 기업], 긍정 텍스트 확률 : 61.52%"
"[기관이 보도자료 통신사 뉴스와이어를 통해 발표한 보도자료입니다. 언론 매체와 블로그는 보도를 목적으로 이 보도자료를 사용할 수 있습니다. ], 긍정 텍스트 확률 : 60.92%"
"[ 게임오늘 컴투스], 긍정 텍스트 확률 : 78.40%"
"[제 차 이스포츠 대회 발표 ], 긍정 텍스트 확률 : 62.91%"
"[시사오늘], 긍정 텍스트 확률 : 78.40%"
"[주년 고급 보물함’을 열면 최상급 낚싯대인 퀸 페르세포네’ 도안을 얻을 수 있으며 주년 도감을 모두 완성하면 푸짐한 보상도 받는다. 주년 기념 보스 물고기와 전설의 어종도 출현한다.레드스타’ 상점이 새롭게 오픈되어 레드스타’로 레전드 낚싯대나 에픽 낚싯대 등을 획득할 수 있으며], 긍정 텍스트 확률 : 93.11%"
"[게임 내에서는 쉽게 얻을 수 없는 강화의 정수’], 긍정 텍스트 확률 : 82.14%"
"[합성의 정수’ 레전드 찌 강화제’ 등 희귀 아이템도 획득할 수 있다.파이널 블레이드], 긍정 텍스트 확률 : 61.83%"
"[스카이피플이 개발한 모바일파이널 블레이드’가 일 봄맞이 업데이트를 진행했다고 밝혔다.파이널 블레이드는 신규 무사 영웅 종을 공개했다. 이용자는 무사 강림 영웅 한 주성과 무사 고정 초월 영웅 최강 주성’을 즐길 수 있다. 한 주성은 천룡승천각’ 스킬을 사용해 적 인의 방어력과 공격력을 감소시킬 수 있다. 최강 주성은 염령일섬’ 스킬을 발휘해 적 인의 방어력], 긍정 텍스트 확률 : 85.84%"
"[신수전 플레이’ 등 미션을 수행해 빙고 줄을 완성하면 천년호리 정수’], 긍정 텍스트 확률 : 70.87%"
"[청옥’ 등을 받는 빙고 이벤트’를 즐길 수 있다. △게임 화면 속 진달래 꽃잎을 터치해 모으면 분홍 진달래 상자’를 획득하는 봄 맞이 이벤트’도 열린다. 진달래 상자는 교환소에서 강림 호리병’], 긍정 텍스트 확률 : 96.17%"
"[성 호리병’ 등으로 랜덤종 교환 가능하다. △이용자는 모험 지역에 흩날리는 개나리 꽃잎을 터치해 노란 개나리 상자’를 얻는 봄꽃 드랍 이벤트’도 참여할 수 있다. 개나리 상자는 교환소에서 초월의 정수’], 긍정 텍스트 확률 : 67.00%"
"[온각의 정수’ 등으로 랜덤종 교환할 수 있다.컴투스], 긍정 텍스트 확률 : 56.75%"
"[방치형개발사 인수컴투스는 마나코어와 노바팩토리를 인수하고 경영권을 확보하는 계약을 체결했다고 일 밝혔다.컴투스가 인수한 마나코어와 노바팩토리는 특별한 조작 없이도 손쉬운 플레이가 가능한 방치형 게임 개발의 노하우와 경쟁력을 갖춘 기업으로], 긍정 텍스트 확률 : 59.12%"
"[그 결과를 하나씩 만들어 가고 있다. 앞으로도 미래 가치에 대한 적극적인 투자 및 를 확대하고 사업 역량을 더욱 강화해 나갈 것”이라고 밝혔다.펄어비스], 긍정 텍스트 확률 : 95.33%"
"[콘솔 및 게임 서버에 효과적으로 적용하는 방식에 대해 설명할 예정이다.카카오게임즈], 긍정 텍스트 확률 : 82.81%"
"[초능력자’의 이미지로 활동하는 점이 특징이다.카카오게임즈는 신규 유닛 업데이트를 기념하여 일부터 일까지 카카오톡 내 카카오게임에서 사전 예약에 참가하는 이용자 전원에게 아이돌을 회 발탁할 수 있는 고급 스카우트 티켓’ 장과 인게임 재화를 선물한다.넥슨], 긍정 텍스트 확률 : 75.16%"
"[오세아니아에서 개 언어로 정식 서비스 예정이다.펍지주식회사], 긍정 텍스트 확률 : 52.39%"
"[제 차 이스포츠 대회 발표펍지주식회사가 년 첫 프리미엄 파트너 대회인 ’이 영국 런던에서 월 일부터 일까지 개최된다고 일 밝혔다.펍지 클래식은 펍지 이스포츠 프로 대회 페이즈 사이에 개최되는 글로벌 대회다. 펍지주식회사는 페이스잇 글로벌 서밋으로 펍지 클래식의 시작을 알리며 년도 펍지 글로벌 이스포츠의 문을 연다. 유럽], 긍정 텍스트 확률 : 89.66%"
"[중국을 포함해 전 세계 개팀이 총 상금 만달러를 두고 승부를 겨룰 예정이다.페이스잇 글로벌 서밋 우승팀과 위팀], 긍정 텍스트 확률 : 83.62%"
"[위를 차지하고 있으며], 긍정 텍스트 확률 : 55.65%"
"[위에 올라 있다. ], 긍정 텍스트 확률 : 56.16%"
"[··· .? 위클리매치정규시즌로 진출펍지주식회사대표김창한가오는월일토오후시], 긍정 텍스트 확률 : 70.12%"
"[ 위를기록하며국문표기펍지아시아인비테이셔널마카오진출을확정지었다.의영예는의’김경열에게돌아갔으며서바이버로는의’김태광이선정됐다. 코리아파이널진출개팀은총상금억원과함께대한민국최강펍지이스포츠팀타이틀], 긍정 텍스트 확률 : 74.17%"
"[ 참가마지막시드권확보를위해맞붙는다.경기는총라운드로미라마맵라운드과에란겔맵라운드에서이뤄지고전경기인칭시점모드로펼쳐진다.아프리카가주관방송사로참여하며], 긍정 텍스트 확률 : 73.99%"
"[ 박상현캐스터와함께김동준], 긍정 텍스트 확률 : 70.48%"
"[ 김지수지수보이해설이중계를맡는다.], 긍정 텍스트 확률 : 58.59%"
"[ 포스트잇등다양한배틀그라운드굿즈와 .?를를기념해제작된특별인게임스킨아이템종이제공된다.경기장내에서는 .?메인스폰서인인터넷티켓부스가운영되며], 긍정 텍스트 확률 : 97.59%"
"[ 깨박이’], 긍정 텍스트 확률 : 53.14%"
"[ 블랙워크’], 긍정 텍스트 확률 : 54.71%"
"[ 피츠버그 나이츠 킬], 긍정 텍스트 확률 : 68.49%"
"[점으로 그 뒤를 이었다.첫 날 경기에서 우승을 차지한 . 은 라운드 부진을 딛고 ], 긍정 텍스트 확률 : 83.00%"
"[라운드에서 연이어 위권 내에 들며 위에 이름을 올렸다. . 의 형제팀인 . 는 킬], 긍정 텍스트 확률 : 55.78%"
"[점을 기록하며 위에 머물렀다.한편 펍지는에서 자사 최초로 메인 경기 중계뿐만 아니라 자신이 응원하는 팀의 경기를 함께 시청할 수 있도록 지원하는 새로운 시청방식을 도입했다. 이 방식은 각 팀을 위한 옵저빙 피드가 제공돼 시청자의 보는 즐거움을 더욱 극대화시킨다.실시간 방송은 공식 홈페이지 ..], 긍정 텍스트 확률 : 75.11%"
"[..에서 시청할 수 있다. ], 긍정 텍스트 확률 : 64.29%"
"[전략 요소 웨이포인트스파이크 트랩 추가], 긍정 텍스트 확률 : 61.70%"
"[지나가는 차량의 바퀴를 터트릴 수 있다. 배틀그라운드에서 차량은 기동성을 바탕으로 좋은 위치를 선점할 수 있게 하는 중요한 역할을 하는데], 긍정 텍스트 확률 : 59.27%"
"[근접해서 터트린다면 다른 상대에게 공격당할 수 있는 리스크가 존재했다. 스파이크 트랩은 성공률은 다소 낮을 수 있으나 설치형인 만큼], 긍정 텍스트 확률 : 86.92%"
"[비켄디는 지형지물과 마을이 재조정됐다. 눈으로 뒤덮인 맵의 특성상 이동이 어렵기 때문에 도로가 추가되었으며], 긍정 텍스트 확률 : 92.91%"
"[추가된 도로에서 탈것을 쉽게 발견할 수 있도록 수량과 스폰 포인트를 늘렸다.또한 승률이 과하게 높았던 고층 건물의 시야각이 변경됐으며], 긍정 텍스트 확률 : 96.43%"
"[듀오나 스쿼드 모드에서 팀원들과 웨이포인트를 공유할 수 있어 전술적인 움직임을 구현할 수 있게 됐다.이 밖에도 배틀그라운드는 매치가 종료될 때마다 해당 매치의 플레이 경험에 점수를 매길 수 있는 매치 만족도 평가 시스템을 추가하는 등 유저 경험 개선을 위한 작업에 착수했다. ], 긍정 텍스트 확률 : 80.33%"
"[ 주식회사와 파트너십 체결 ], 긍정 텍스트 확률 : 62.21%"
"[ 라이젠 프로세서로 배틀그라운드 플레이 가능홈커밍 행사 현장에 라데온 그래픽카드 탑재 코리아는 “플레이어언노운스 배틀그라운드” 개발사인 펍지주식회사와 공식 파트너십을 체결했다고 밝혔다. ], 긍정 텍스트 확률 : 66.03%"
"[라데온 및 최근 새롭게 .......?....? ], 긍정 텍스트 확률 : 81.14%"
"[ 글로벌 챔피언십기념 스킨에 북미 관계자들이 아쉬워하는 이유], 긍정 텍스트 확률 : 63.98%"
"[ 의 정점인 대서양 지역의시리즈와 태평양 지역의아시아 시리즈 그리고대회 공정성 논란으로 졸지에 아시아 국가에 한해시드권 한 장이 걸렸던 국가 대항전 이벤트 대회인네이션스 컵까지 말 그대로 대장정의 일정을 보냈습니다. 이 과정에서 이미 에 진출한 팀이 있는 반면 대부분와 대표 선발전을 통해서 선발이 됩니다. 점수 차이가 얼마 안 나는 촌극을 다투는 상황에서 준비 시간 대비 퀄리티 높은 스킨을 출시하기엔 촉박했습니다. 다만], 긍정 텍스트 확률 : 93.77%"
"[해외 팬들 같은 경우 개월이라는 긴 시간이 있었음에도 실현이 되지 않는다는게 의문점을 가지고 있습니다. ], 긍정 텍스트 확률 : 55.85%"
"[이런 아쉬운 목소리가스포츠 중계진에서도 나왔지만 이런 불만이 나오고 있는 지역이 주로 북미 지역의 에서 볼 수 있습니다. 최근 북미 지역에는 심상치 않은 루머가 돌고 있습니다. 유명 스포츠 구단으로 알려진옵틱 게이밍 스포츠팀 바이탈리티가 해체를 선언했고 앞으로도 북미 팀에서 ], 긍정 텍스트 확률 : 93.30%"
"[재정적인 이슈로 인해줄줄이 해체를 한다는 루머가 돌고 있습니다. 게다가], 긍정 텍스트 확률 : 62.19%"
"[이와는 반대로 한국에서는 북미의 이런 반응에 대해서 그렇게 공감을 하지 않은 편입니다. 사실], 긍정 텍스트 확률 : 57.69%"
"[각 구단 스킨 같은 경우 그냥 로고만 붙이고 나오는 경향이 있어서 그렇게 기대를 하지 않은 편이지만 그럼에도 불구하고 특정 팀을 좋아하는 팬들에겐 아쉬운 반응이 나왔습니다. 오히려 현재 나온 스킨에 긍정적인 편이고 수익 구조에 대해서도 괜찮은 반응이 나오고 있습니다. 올해 나온팀 아이템을 보면 그렇게 매력적이라는 느낌이 들지 않았다고 생각할 정도였거든요. ], 긍정 텍스트 확률 : 52.29%"
"[이것만큼은 분명한 사실이 있다면 바로 약속을 어겼다는 점입니다. 이것은 해외 뿐만 아니라 한국 커뮤니티 또한 반응이 똑같습니다. 사실], 긍정 텍스트 확률 : 73.64%"
"[스킨처럼 스펙트럼이 넓은 스킨을 개 구단으로 계획했다면 정말 무모한 계획이라고 생각하는군요. ], 긍정 텍스트 확률 : 78.98%"
"[ 스킨에 인기가 많더군요. 아이템도 정말 많습니다. 의류 세트전투 세트총기차량그리고 년에 새롭게 추가된 감정 표현까지 말 그대로 종합 선물 세트입니다. 특히], 긍정 텍스트 확률 : 99.48%"
"[색상 조합계의 치트키 빨간색과 흰색 그리고 검정색을 잘 조합했습니다. ], 긍정 텍스트 확률 : 83.94%"
"[스킨 수익금은 사실상 진출팀에게 돌아가는 구조입니다.는 참가 팀에게], 긍정 텍스트 확률 : 79.60%"
"[는 투표 이벤트를 통해 돌아갑니다. 그 동안 역대 스포츠 전용 상품 중에서 크라우드 펀딩 형식의 수익 공유 형태가참가팀에게 돌아가는 것은 상당히 드문 일입니다. 사실], 긍정 텍스트 확률 : 98.39%"
"[해외 팬들에겐 조금 찜찜한 기분이 들지만 그래도 퀄리티 높은 스킨과 여전히 파격적인 수익 분배 방식에는 환영하는 쪽으로 마무리가 되었습니다. 개인적으로 저는 이번 이슈를 통해 지키지 못 할 약속을 함부로 하면 안 된다는 것 그리고 대회 최정점의 스킨에 대한 가치를 다시 한 번 더 생각해봐야 하는 순간이라고 생각합니다. 물론], 긍정 텍스트 확률 : 99.96%"
"[카카오 게임즈가 서울시 양재 엘타워에서 배틀그라운드 국내 서비스 계획을 발표했습니다. 그 결과 카카오게임즈가 배틀그라운드를 어떻게 서비스하려 하는지 명명백백하게 밝혀졌죠.주요 내용을 요약하자면 다음과 같습니다. 참조해주시면 감사드리겠습니다.], 긍정 텍스트 확률 : 88.84%"
"[ 월 일부터 국내 서비스 실시. 다음 게임 프리미엄 방 서비스도 동시에 시작.이제 가맹 방에서 계정을 대여하지 않고도 마음껏 배틀그라운드를 즐길 수 있을 거라고 선언. ], 긍정 텍스트 확률 : 57.42%"
"[클라이언트도 글로벌 버전과 동일함. ], 긍정 텍스트 확률 : 54.21%"
"[그래서글로벌 서버와 완전히 같은 게임성과 패키지 판매 정책을 채택. 카카오 버전 패키지 가격은 원판과 똑같은 ], 긍정 텍스트 확률 : 67.03%"
"[ 원. 능력치를 올리는 아이템을 절대 팔지 않겠다고 다시 한 번 강조 방 서비스는 개월 동안 사전 프로모션 실시. 월 이후부터 정식 방 서비스 도입 예정. 그때는 방 점주들에게 이용료를 거둘 예정], 긍정 텍스트 확률 : 70.25%"
"[이로 인해 더 많은 유저들이 더 쉽게 배틀그라운드에 접근할 길이 열렸습니다. 그만큼 배틀그라운드가 좋은 성적을 거둘 여지가 생긴 셈이지요.그래서 이번 포스트에는 배틀그라운드의 주요 성적을 기록하려 합니다. 글로벌 판매량], 긍정 텍스트 확률 : 86.47%"
"[카카오 게임즈가 배틀그라운드 미디어 간담회에서 발표한 공식 정보입니다. 스팀 스파이 판매 추정치가 약 ], 긍정 텍스트 확률 : 79.82%"
"[ 만 장이었는데 그보다 더 많았네요. 굉장합니다. ], 긍정 텍스트 확률 : 79.45%"
"[ 만 장 중 한국 판매량은 어느 정도 될까요. 약 만 장이라고 합니다. 이 또한 미디어 간담회에서 밝혀진 공식 정보입니다. 이것도 스팀스파이 추정치보다 많네요. 스팀 스파이에서는 전체 구매자의 .가 한국인이라고 추정했거든요. 그래서 만 장 정도 됐겠거니 싶었는데 그보다 약 만 장이나 더 많았다니... 예상 외로군요. ], 긍정 텍스트 확률 : 75.58%"
"[명을 기록했습니다. 월 일 기준 그리하여스팀 역사 상 가장 높은 동접자수를 기록한 게임으로 자리 잡았죠.지금도 만 명 이상의 일일 최대 동접자 수를 기록하고 있고요. 단순히 최고 기록만 등이 아니라 평균 기록도 등을 기록하고 있는 셈입니다. ], 긍정 텍스트 확률 : 86.69%"
"[한국 방 점유율 등 뒤에 바짝 붙은 등 ], 긍정 텍스트 확률 : 53.87%"
"[의 점유율은 .였습니다.물론 지금은 이 다시 등을 탈환했지만요. 일 동안 에 달하는 차이를 보였기 때문에 또 다시 배틀그라운드가 치고 올라올 가능성이 있습니다.좀 더 정확한 상황을 알고 싶어하는 분들을 위해 방 점유율 변활를 기록해둘게요. 도움이 됐으면 좋겠네요.], 긍정 텍스트 확률 : 63.48%"
"[ . 배틀그라운드. 오버워치.], 긍정 텍스트 확률 : 57.10%"
"[그리고 주요 업데이트를 한 이후 성적이 어떻게 변화할지 관심이 가네요.물론 반드시 쭉쭉 오른다는 보장은 없습니다. 서버 문제], 긍정 텍스트 확률 : 65.94%"
"[상륙 직후 다른 유저에게 발각당하기 전에 무기를 찾아내고 유리한 위치를 선점해야 하다 보니 긴장감이 상당히 높고], 긍정 텍스트 확률 : 86.81%"
"[잘 숨어있든 적극적으로 싸우든 자유롭게 전략을 짤 수 있어 호평을 받음 ], 긍정 텍스트 확률 : 81.76%"
"[ 미라마’에서만발견할수있는신규차량및무기를활용해지형과구조물에따라새로운전술을펼칠수있는것이특징이다.미라마’맵은일오후시부터스팀테스트서버에서플레이가능하다.펍지주식회사크리에이티브디렉터브랜든그린은“사막이라는환경과그에맞는지형과건물들은유저들에게생존을위한또다른도전이될것이다.”라며], 긍정 텍스트 확률 : 59.07%"
"[ “’미라마’를드디어선보일수있어뜻깊고스팀테스트서버에서누구나이용가능하오니많은참여부탁드린다.”고전했다.펍지주식회사김창한대표는“미라마맵을테스트서버에선보일수있어기쁘다.”며], 긍정 텍스트 확률 : 93.49%"
"[ ”도심과분구], 긍정 텍스트 확률 : 66.54%"
"[ 수용소등새로추가된콘텐츠들을통해더전략적인플레이가가능할것으로보고새로운경험을쌓기를기대한다.”라고전했다.올해월스팀에서얼리억세스를시작한배틀그라운드’는이달일한국시간.버전’으로전세계정식출시한다.배틀그라운드’정식버전의가격은얼리억세스가격과동일하며], 긍정 텍스트 확률 : 97.32%"
"[분 만에 보는 배틀그라운드’의 역사], 긍정 텍스트 확률 : 63.21%"
"[ ’가온라인배틀로얄게임의초석을닦다 ], 긍정 텍스트 확률 : 50.30%"
"[온라인배틀로얄게임이처음시작된것은한게임의컴퓨터게임일부를수정해새게임으로만드는것였습니다.’의였던’는좀비를피해서도시에서무기와식량을얻어생존하는서바이벌게임이었습니다.’는플레이어가약탈자다른플레이어를피해생존해야하는일종의배틀로얄’게임의모습을띠게됐습니다.게임디자이너브랜든그린은’에서배틀로얄인플레이언노운즈배틀로얄’를만듭니다.이후], 긍정 텍스트 확률 : 50.34%"
"[ 스탠드얼론으로만들어진킬오브더킹’은큰인기를끌어온라인배틀로얄게임’시대의서막을알립니다.], 긍정 텍스트 확률 : 67.37%"
"[ 완성형배틀로얄게임이나오다 ’을개발했던소니온라인을떠난브랜든그린은블루홀지노현주식회사의김창한로부터러브콜을받습니다.일주일뒤], 긍정 텍스트 확률 : 59.33%"
"[ 배틀그라운드’는외딴섬에서총명의플레이어가다양한무기와전략을이용해마지막명이살아남는순간까지전투하는온라인배틀로얄게임입니다.년한국은리그오브레전드’], 긍정 텍스트 확률 : 85.41%"
"[ ’를즐기는사용자들이간혹있었지만], 긍정 텍스트 확률 : 66.50%"
"[ 배틀로얄전성시대를열다배틀그라운드’는얼리액세스로출시되자마자엄청난인기를끌었습니다.출시일만에매출만달러약억원를돌파했고], 긍정 텍스트 확률 : 64.06%"
"[ 스팀최고인기제품위에올랐으니까요.게임방송플랫폼트위치’에서동시시청자수만명을돌파했습니다.년], 긍정 텍스트 확률 : 95.50%"
"[ 인기스트리머들사이에서배틀그라운드’는가장큰콘텐츠가운데하나였습니다.해외스트리머슈라우드부터한국의풍월량], 긍정 텍스트 확률 : 61.65%"
"[ 따효니까지배틀그라운드’를플레이하지않은스트리머는거의없었습니다.딩셉션은배틀그라운드’를통해스타스트리머로떠오르기도했고요.배틀그라운드’에서일등을해본적이없는스트리머들은배틀그라운드’에서일등을하는것을주요콘텐츠로삼았습니다.], 긍정 텍스트 확률 : 96.20%"
"[ 배틀그라운드’는카카오서버를통해정식서비스를시작합니다.년상반기에는피시방점유율이가넘어피시방점유율위를기록하기도했습니다.국민게임인리그오브레전드’를누르고요년기준배틀그라운드’의누적판매량은만장와콘솔을포함을넘겼습니다.배틀그라운드’의기세가꺾인년월일기준], 긍정 텍스트 확률 : 61.71%"
"[ 배틀그라운드는피시방점유율.를기록하고있습니다.리그오브레전드’에밀린위입니다.여전히높은피시방점유율이지만], 긍정 텍스트 확률 : 85.27%"
"[ 현재배틀그라운드의화력은예전같지않습니다. 전장을모바일로옮기다배틀그라운드’는스팀얼리액세스를시작으로], 긍정 텍스트 확률 : 62.27%"
"[ 순서대로플랫폼을넓혔습니다.년모바일게임업계에서큰화제는배틀그라운드모바일’이였습니다.년월에글로벌출시한배틀그라운드모바일’은펍지주식회사와중국의텐센트가공동으로개발했습니다.높은이식률로화제를모았죠. ], 긍정 텍스트 확률 : 73.35%"
"[배틀그라운드모바일’은글로벌출시약개월만에중국을제외한누적다운로드수억명을기록했습니다.일일접속자수는천만명을돌파했죠.전세계모바일게임시장에큰획을긋는기록입니다.특히], 긍정 텍스트 확률 : 80.22%"
"[ 모바일게임에있어슈팅장르가고전하는현실을감안하는더대단한기록이죠. 저무는배틀그라운드’의인기 배틀그라운드’는년월이후], 긍정 텍스트 확률 : 90.34%"
"[ 꾸준히내리막길을걷고있습니다.특히], 긍정 텍스트 확률 : 71.98%"
"[ 배틀그라운드’의상황은더안좋습니다.새로운경쟁게임인에이펙스레전드’가등장했거든요.통계사이트트위치메트릭스에따르면], 긍정 텍스트 확률 : 51.46%"
"[ 배틀그라운드’는위를기록하고있습니다.또다른원인은핵’입니다.핵은 에임을고정해주거나], 긍정 텍스트 확률 : 77.54%"
"[ 상대유저의위치를알려주는등의기능을가진불법프로그램입니다.핵유저는다른유저보다훨씬유리하게게임을할수있죠.핵’은많은유저가배틀그라운드’에서이탈하는큰이유가됐습니다.펍지주식회사는핵유저를지속해서 제재했지만], 긍정 텍스트 확률 : 84.07%"
"[펍지는배틀그라운드’전성기를되찾기위해서노력하고있습니다.여전히배틀그라운드’는아시아지역에서는가장인기있는온라인게임가운데하나기도하고요.그노력가운데하나는배틀그라운드라이트’입니다.배틀그라운드라이트’는상대적으로사양이낮은동남아지역을위해만들어진저사양버전입니다.태국을시작으로인도네시아], 긍정 텍스트 확률 : 96.92%"
"[ 필리핀등다른동남아지역으로출시될예정입니다.펍지’주식회사는지난해월에신규맵비켄디를공개했습니다.설원을배경으로한네번째맵입니다.지난월에는배틀그라운드’스포츠활성화를위해프로팀및선수지원정책을새로발표하기도했고요.배틀그라운드’는스팀유저가선정한년최고의게임입니다.배틀그라운드’는리그오브레전드’], 긍정 텍스트 확률 : 99.60%"
"[많은분들이일찍부터장래희망이나꿈을가지고있지만], 긍정 텍스트 확률 : 59.10%"
"[끝까지노력해서어릴적의꿈을실현시키는사람은그리많지않습니다. 어렸을때게임을좋아했던마음을뚜렷하게간직하고 게임을직접만드는게임프로그래머가되기위해전공을선택하고 심도있는게임프로그래밍실력을쌓기위해게임학원을찾아오는분들에게 반드시그꿈을이뤄드리려하는것은 그만큼한목표를향해꾸준히노력하기가쉽지않기때문입니다. ], 긍정 텍스트 확률 : 99.69%"
"[ 현재한국에서가장인기있는게임타이틀인 배틀그라운드의주식회사에취업한졸업생분입니다. 블루홀에서분리된신생게임회사인만큼], 긍정 텍스트 확률 : 62.56%"
"[ 펍지취업자로서는최초인데요. 게임프로그래머의꿈을이루기위해어떻게공부하고발전해왔는지 게임회사취업의노하우를담아보내주신취업후기오늘도함께공유하겠습니다], 긍정 텍스트 확률 : 97.00%"
"[ 펍지클라이언트로입사하게된기졸업생입니다. 년동안열심히이끌어주신학원선생님들과 게임프로그래밍공부시스템덕분에게임프로그래머의꿈을이뤘습니다. ], 긍정 텍스트 확률 : 87.72%"
"[ 게임배틀그라운드를개발한곳입니다.로출시된이후부터많은인기를모았고], 긍정 텍스트 확률 : 88.25%"
"[ 모바일버전으로도출시되었으며스포츠분야로도활동을활발하게넓히고있지요.펍지김창한대표님의인터뷰기사를보면서], 긍정 텍스트 확률 : 91.20%"
"[ 다년간의도전과경험을통한성공에존경심을갖고서입사지원을결심했습니다.취업준비를하면서도이렇게좋은게임회사에입사하게될줄은몰랐는데], 긍정 텍스트 확률 : 78.25%"
"[ 정말뿌듯하기도하고많이떨리기도해요. ], 긍정 텍스트 확률 : 75.57%"
"[어렸을때부터게임을좋아했고], 긍정 텍스트 확률 : 74.11%"
"[게임프로그래밍을더욱깊이있게배우기위해가장전문적인가르침을받을수있는학원을친구와함께찾아보다가쥬신게임아카데미에오게되었습니다. 많은게임프로그래밍학원학생들이공감하는것처럼 ], 긍정 텍스트 확률 : 99.57%"
"[오랜시간집중하여공부할수있고], 긍정 텍스트 확률 : 81.56%"
"[ 모르는문제를동기들과함께고민하며풀어내거나선생님께바로바로질문할수있는등게임프로그래밍공부분위기가정말좋은곳입니다.모르는문제를혼자힘으로해결했을때의후련함도좋지만], 긍정 텍스트 확률 : 77.49%"
"[게임학원에서는비교적짧은기간안에많은내용을배우고이해해야하는만큼효율적인공부요령을선택하는것도중요합니다. ], 긍정 텍스트 확률 : 94.97%"
"[게임학원생활중직접게임을구현하면서공부하는과정중가장재미있었던것은과정이었습니다.제가좋아하는게임들을모작하여플레이어가직접스테이지공간을돌아다니게끔하는구현이신기할정도로재미있었어요.하지만거기서], 긍정 텍스트 확률 : 53.60%"
"[될때까지해보자], 긍정 텍스트 확률 : 80.04%"
"[ 모르면알때까지해보자는마음으로꾸준히공부하며버텼어요. 주변 사람들에게 질문도적극적으로하며포기하지않은덕분에게임회사취업까지쭉잘해낼수있었던게아닐까생각합니다. ], 긍정 텍스트 확률 : 91.23%"
"[펍지의모체가된블루홀역시뛰어난개발기술을보유한회사이며], 긍정 텍스트 확률 : 94.38%"
"[ 펍지주식회사에서도엔지니어의중요성을잘이해하고있는 곳입니다. 따라서 게임회사 입사 과정에서필기], 긍정 텍스트 확률 : 93.17%"
"[기술적인내용에관한면접], 긍정 텍스트 확률 : 88.25%"
"[ 필기테스트에대비해서는자료구조에관한내용들을충분히인지하고손코딩을할수있도록기술적인보강도꾸준히했습니다.], 긍정 텍스트 확률 : 79.69%"
"[포트폴리오에사용했던기술을완벽하게설명할수있도록노력하고], 긍정 텍스트 확률 : 85.39%"
"[공부가너무하기싫을때는잠깐쉬는것도괜찮다고생각합니다. 저 역시 잠깐게임을하면서휴식하기도했습니다. 물론 조절을 잘해야 하고 주변의다른사람들에게영향을주지않도록조심해야하지만요.때로는조금쉬고나면문제가있던코드의해결방법이자연스럽게떠오를때도있었습니다. ], 긍정 텍스트 확률 : 96.78%"
"[ 년간의학원과정은힘들것이란말입니다.특히], 긍정 텍스트 확률 : 83.97%"
"[평소에공부하던습관이잡혀있지않은사람이라면], 긍정 텍스트 확률 : 54.85%"
